매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
,,4/21/2017 Fri,"$2,260.74",$478.70,$239.70,$11.70,$950.37,$181.98,$135.28,"-$1,506.23",$990.71,46.24%,43.82%,,,,,,,,,,$754.51,,,,,,,,,
,,4/22/2017 Sat,"$2,696.86",$529.25,$245.30,$9.96,"$1,142.51",$210.16,$88.66,"-$1,802.73","$1,370.39",46.60%,50.81%,,,,,,,,,,$894.13,,,,,,,,,
,,4/24/2017 Mon,"$1,949.56",$575.89,$59.90,$27.55,$791.45,$205.37,$112.07,"-$1,280.69",$796.20,44.66%,40.84%,,Week 6,"$1,888.91",$538.06,$172.77,$18.09,$678.47,$195.21,$114.29,$668.87,"$3,017.63",,,,,,,,
,,4/25/2017 Tues,"$1,914.23",$650.52,$212.20,$20.81,$419.47,$280.12,$156.90,"-$1,567.91",$878.63,24.10%,45.90%,,,,,,,,,,$346.32,,,,,,,,,
,,4/26/2017 Wed,"$1,598.26",$483.86,$59.90,$13.09,$552.88,$209.77,$132.36,"-$1,321.96",$880.23,38.05%,55.07%,,,,,,,,,,$276.30,,,,,,,,,
,,4/27/2017 Thur,"$1,624.98",$439.35,$140.30,$13.19,$669.89,$133.58,$80.81,"-$1,121.83",$725.50,45.35%,44.65%,,,,,,,,,,$503.15,,,,,,,,,
,,4/28/2017 Fri,"$1,892.12",$599.16,$239.70,$11.32,$607.20,$164.75,$97.82,"-$1,369.65",$987.71,35.30%,52.20%,,,,,,,,,,$522.47,,,,,,,,,
,,4/29/2017 Sat,"$2,354.33",$479.58,$324.60,$22.56,"$1,029.92",$177.68,$105.78,"-$1,653.81","$1,199.14",48.12%,50.93%,,,,,,,,,,$700.52,,,,,,,,,
2017년 5월,매출 보고,5/1/2017 Mon,"$2,155.85",$540.21,$311.69,$12.61,$806.15,$194.54,$94.49,"-$1,674.51","$1,262.27",41.13%,58.55%,,Week 7,"$1,832.49",$507.21,$206.23,$16.65,$615.33,$216.35,$103.33,$481.34,"$3,442.44",,,,,,,,
,,5/2/2017 Tues,"$1,641.49",$508.36,$141.30,$13.02,$530.42,$196.34,$101.51,"-$1,078.08",$666.25,35.54%,40.59%,,,,,,,,,,$563.41,,,,,,,,,
실제 수익,"$61,184.38",5/3/2017 Wed,"$1,697.53",$531.14,$59.90,$18.69,$604.45,$192.40,$133.38,"-$1,155.73",$727.85,39.17%,42.88%,,,,,,,,,,$541.80,,,,,,,,,
보고 수익,"$43,083.50",5/4/2017 Thur,"$1,720.65",$429.77,$174.80,$22.12,$653.11,$227.80,$57.02,"-$1,313.58",$559.47,41.75%,32.52%,,,,,,,,,,$407.07,,,,,,,,,
카드 수익,"$28,355.95",5/5/2017 Fri,"$1,793.63",$596.96,$306.80,$12.82,$358.32,$260.33,$94.26,"-$1,318.36",$937.04,21.98%,52.24%,,,,,,,,,,$475.27,,,,,,,,,
,"$14,727.55",5/6/2017 Sat,"$2,566.02",$586.44,$429.10,$20.74,$901.76,$233.53,$160.96,"-$1,981.58","$1,363.37",38.66%,53.13%,,,,,,,,,,$584.44,,,,,,,,,
담배 수익,"$25,198.47",5/7/2017 Sun,"$1,252.25",$357.62,$19.99,$16.54,$453.07,$209.48,$81.66,-$863.14,$346.61,39.80%,27.68%,,,,,,,,,,$389.11,,,,,,,,,
그로서리 수익,$861.84,5/8/2017 Mon,"$1,706.96",$609.77,$129.80,$12.54,$485.63,$233.62,$74.95,"-$1,426.51",$797.20,31.29%,46.70%,,Week 8,"$1,926.17",$595.82,$167.44,$24.60,$662.09,$217.61,$110.62,$280.45,"$4,439.81",,,,,,,,
잡화 수익,"$19,536.88",5/9/2017 Tues,"$2,004.06",$709.10,$0.00,$24.85,$766.33,$191.82,$127.79,"-$1,228.59",$846.69,42.06%,42.25%,,,,,,,,,,$775.47,,,,,,,,,
토바코 수익,"$6,784.02",5/10/2017 Wed,"$1,870.84",$643.38,$69.90,$30.10,$570.88,$277.95,$109.45,"-$1,297.45",$807.16,33.57%,43.14%,,,,,,,,,,$573.39,,,,,,,,,
맥주 수익,"$3,404.80",5/11/2017 Thur,"$1,660.50",$507.24,$70.10,$39.64,$501.46,$356.67,$123.70,-$915.89,$643.06,33.22%,38.73%,,,,,,,,,,$744.61,,,,,,,,,
,,5/12/2017 Fri,"$2,420.51",$686.50,$383.50,$22.36,$929.90,$133.20,$105.95,"-$1,647.75","$1,336.63",42.26%,55.22%,,,,,,,,,,$772.76,,,,,,,,,
,,5/13/2017 Sat,"$2,003.61",$660.58,$152.30,$31.53,$752.51,$135.64,$89.52,"-$1,315.35",$847.00,41.31%,42.27%,,,,,,,,,,$688.26,,,,,,,,,
,,5/14/2017 Sun,"$1,816.69",$354.15,$366.50,$11.21,$627.93,$194.37,$143.00,"-$1,211.82",$895.78,38.02%,49.31%,Mother's Day,,,,,,,,,$604.87,,,,,,,,,
,,5/15/2017 Mon,"$1,850.04",$692.55,$78.90,$23.08,$569.65,$241.15,$77.38,"-$1,335.82",$664.29,33.87%,35.91%,,Week 9,"$2,013.60",$676.07,$172.80,$34.80,$635.39,$211.81,$96.59,$514.22,"$3,967.34",,,,,,,,
,,5/16/2017 Tues,"$1,952.91",$688.99,$224.20,$27.26,$603.91,$144.63,$87.81,"-$1,349.46",$519.73,34.02%,26.61%,,,,,,,,,,$603.45,,,,,,,,,
,,5/17/2017 Wed,"$2,223.54",$672.60,$157.50,$41.89,$719.19,$327.23,$92.60,"-$1,500.24","$1,097.81",35.58%,49.37%,,,,,,,,,,$723.30,,,,,,,,,
,,5/18/2017 Thur,"$1,916.78",$745.71,$216.70,$33.70,$436.93,$194.12,$110.85,"-$1,501.13",$825.85,25.07%,43.09%,,,,,,,,,,$415.65,,,,,,,,,
,,5/19/2017 Fri,"$2,739.72",$755.26,$231.20,$26.05,"$1,159.82",$173.76,$145.01,"-$2,035.50","$1,648.70",46.57%,60.18%,,,,,,,,,,$704.22,,,,,,,,,
,,5/20/2017 Sat,"$2,112.74",$697.39,$222.20,$73.01,$536.89,$268.62,$122.73,"-$1,561.49",$967.44,27.95%,45.79%,,,,,,,,,,$551.25,,,,,,,,,
,,5/21/2017 Sun,"$1,299.47",$480.00,$78.90,$18.59,$421.33,$133.18,$39.74,-$844.22,$493.40,35.67%,37.97%,,,,,,,,,,$455.25,,,,,,,,,
,,5/22/2017 Mon,"$1,637.80",$625.98,$69.90,$12.06,$342.10,$274.21,$162.29,"-$1,328.51",$933.23,22.98%,56.98%,,Week 10,"$2,115.33",$663.42,$247.26,$31.75,$620.75,$220.36,$139.64,$309.29,"$4,374.89",,,,,,,,
,,5/23/2017 Tues,"$2,418.32",$743.22,$557.90,$43.77,$490.93,$241.20,$121.61,"-$1,973.07","$1,223.45",22.33%,50.59%,,,,,,,,,,$445.25,,,,,,,,,
,,5/24/2017 Wed,"$1,848.29",$586.17,$131.30,$31.89,$608.98,$198.33,$124.33,"-$1,255.73",$726.38,36.24%,39.30%,,,,,,,,,,$592.56,,,,,,,,,
,,5/25/2017 Thur,"$2,310.60",$653.91,$235.70,$25.48,$771.96,$303.93,$109.81,"-$1,505.92","$1,230.77",36.75%,53.27%,,,,,,,,,,$804.68,,,,,,,,,
,,5/26/2017 Fri,"$2,383.88",$651.55,$352.50,$34.12,$822.56,$175.03,$132.28,"-$1,465.02","$1,184.60",37.96%,49.69%,,,,,,,,,,$918.86,,,,,,,,,
,,5/27/2017 Sat,"$2,845.07",$988.60,$146.80,$45.05,$998.63,$176.94,$231.22,"-$1,857.77","$1,401.84",38.61%,49.27%,,,,,,,,,,$987.30,,,,,,,,,
