매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
,,1/19/2018 Fri,"$2,689.10",$669.00,$307.60,$35.27,$995.58,$298.41,$138.53,"-$1,818.19","$1,343.66",40.73%,49.97%,,,,,,,,,,$870.91,,,,,,,,,
,,1/20/2018 Sat,"$2,641.86",$628.81,$221.70,$27.22,"$1,070.08",$344.78,$109.00,"-$1,803.24","$1,327.80",44.56%,50.26%,,,,,,,,,,$838.62,,,,,,,,,
,,1/21/2018 Sun,"$1,877.52",$625.86,$61.90,$19.08,$644.24,$264.10,$91.42,"-$1,325.52",$957.90,37.74%,51.02%,,,,,,,,,,$552.00,,,,,,,,,
,,1/22/2018 Mon,"$3,172.68",$925.52,$394.50,$10.33,"$1,146.80",$268.26,$138.64,"-$2,039.36","$1,513.25",39.76%,47.70%,,Week 45,"$2,566.29",$729.58,$175.30,$22.69,"$1,061.70",$245.00,$98.53,"$1,133.32","$6,412.41",,,,,,,,
,,1/23/2018 Tue,"$1,922.07",$556.76,$159.80,$28.69,$785.20,$161.13,$55.57,"-$1,204.39",$857.90,44.94%,44.63%,,,,,,,,,,$717.68,,,,,,,,,
,,1/24/2018 Wed,"$3,096.83",$822.65,$70.90,$15.58,"$1,569.20",$239.92,$96.83,"-$1,768.25","$1,327.27",55.74%,42.86%,,,,,,,,,,"$1,328.58",,,,,,,,,
,,1/25/2018 Thu,"$2,147.19",$611.68,$0.00,$34.37,$870.87,$318.78,$116.11,"-$1,246.20",$790.57,44.61%,36.82%,,,,,,,,,,$900.99,,,,,,,,,
,,1/26/2018 Fri,"$2,670.40",$710.38,$74.40,$21.53,"$1,266.30",$272.90,$81.90,"-$1,787.71","$1,268.11",52.16%,47.49%,,,,,,,,,,$882.69,,,,,,,,,
,,1/27/2018 Sat,"$2,520.37",$820.86,$139.80,$26.94,"$1,010.31",$197.66,$95.40,"-$1,771.71","$1,372.63",44.09%,54.46%,,,,,,,,,,$748.66,,,,,,,,,
,,1/28/2018 Sun,"$2,434.49",$659.22,$387.70,$21.38,$783.24,$256.32,$105.27,"-$1,734.00","$1,342.71",35.39%,55.15%,,,,,,,,,,$700.49,,,,,,,,,
,,1/29/2018 Mon,"$2,186.02",$675.81,$236.70,$16.22,$682.97,$275.23,$100.21,"-$1,441.22",$998.01,34.37%,45.65%,,Week 46,"$2,720.95",$750.91,$189.69,$25.96,"$1,048.97",$336.95,$120.89,$744.80,"$6,461.77",,,,,,,,
,,1/30/2018 Tue,"$2,668.42",$742.67,$298.60,$19.32,"$1,027.47",$213.90,$123.65,"-$2,005.64","$1,548.01",42.36%,58.01%,,,,,,,,,,$662.78,,,,,,,,,
,,1/31/2018 Wed,"$2,559.29",$630.14,$234.70,$25.23,"$1,099.33",$247.79,$89.20,"-$1,651.06","$1,229.45",47.25%,48.04%,,,,,,,,,,$908.23,,,,,,,,,
2018년 2월,매출 보고,2/1/2018 Thu,"$2,752.67",$722.22,$93.90,$26.57,"$1,045.95",$463.47,$150.07,"-$1,862.56","$1,324.65",41.80%,48.12%,,,,,,,,,,$890.11,,,,,,,,,
,,2/2/2018 Fri,"$3,790.33",$988.86,$157.30,$35.01,"$1,597.80",$525.25,$141.29,"-$2,367.51","$1,885.90",46.37%,49.76%,,,,,,,,,,"$1,422.82",,,,,,,,,
실제 수익,"$77,706.16",2/3/2018 Sat,"$2,588.30",$836.27,$146.80,$43.41,$837.86,$374.01,$114.36,"-$1,657.38","$1,040.40",35.61%,40.20%,,,,,,,,,,$930.92,,,,,,,,,
보고 수익,"$51,977.59",2/4/2018 Sun,"$2,501.64",$660.40,$159.80,$15.97,"$1,051.41",$259.01,$127.42,"-$1,599.53","$1,190.24",46.23%,47.58%,.,,,,,,,,,$902.11,,,,,,,,,
카드 수익,"$37,717.49",2/5/2018 Mon,"$2,581.71",$770.07,$0.00,$11.11,"$1,197.26",$222.05,$146.30,"-$1,521.19","$1,092.50",51.01%,42.32%,,Week 47,"$2,766.36",$769.11,$156.54,$21.68,"$1,163.89",$276.26,$127.17,"$1,060.52","$5,990.06",,,,,,,,
,"$14,260.10",2/6/2018 Tue,"$2,848.27",$695.93,$218.70,$26.07,"$1,259.82",$251.74,$136.85,"-$2,000.66","$1,430.05",48.65%,50.21%,,,,,,,,,,$847.61,,,,,,,,,
담배 수익,"$24,515.93",2/7/2018 Wed,"$2,604.62",$778.45,$79.90,$27.85,"$1,064.36",$323.57,$93.50,"-$1,742.00","$1,210.63",44.95%,46.48%,,,,,,,,,,$862.62,,,,,,,,,
그로서리 수익,$637.56,2/8/2018 Thu,"$2,495.20",$670.71,$222.20,$23.85,$908.06,$337.88,$105.42,"-$1,982.05","$1,525.70",40.03%,61.15%,,,,,,,,,,$513.15,,,,,,,,,
잡화 수익,"$33,748.82",2/9/2018 Fri,"$3,581.32",$825.01,$425.20,$10.43,"$1,575.37",$272.47,$147.01,"-$2,705.37","$2,061.27",48.39%,57.56%,,,,,,,,,,$875.95,,,,,,,,,
토바코 수익,"$8,263.86",2/10/2018 Sat,"$3,014.11",$850.03,$89.90,$23.64,"$1,341.23",$273.77,$161.30,"-$1,876.61","$1,358.97",48.95%,45.09%,,,,,,,,,,"$1,137.50",,,,,,,,,
맥주 수익,"$3,467.44",2/11/2018 Sun,"$2,239.28",$793.57,$59.90,$28.83,$801.12,$252.32,$99.78,"-$1,546.57","$1,129.49",39.35%,50.44%,,,,,,,,,,$692.71,,,,,,,,,
,,2/12/2018 Mon,"$2,438.80",$652.45,$61.90,$16.85,"$1,030.28",$346.45,$108.91,"-$1,607.24","$1,169.07",46.47%,47.94%,,Week 48,"$2,831.96",$702.00,$185.13,$25.82,"$1,261.82",$281.73,$117.76,$831.56,"$6,053.73",,,,,,,,
,,2/13/2018 Tue,"$2,106.46",$613.64,$173.80,$23.99,$794.16,$213.68,$95.52,"-$1,401.55","$1,017.95",41.47%,48.33%,,,,,,,,,,$704.91,,,,,,,,,
,,2/14/2018 Wed,"$3,012.83",$670.74,$224.70,$25.00,"$1,457.36",$250.66,$110.22,"-$1,895.52","$1,366.66",53.21%,45.36%,,,,,,,,,,"$1,117.31",,,,,,,,,
,,2/15/2018 Thu,"$3,667.94",$763.53,$523.30,$41.93,"$1,646.69",$204.55,$154.25,"-$2,733.66","$2,014.10",49.38%,54.91%,,,,,,,,,,$934.28,,,,,,,,,
,,2/16/2018 Fri,"$3,161.39",$779.06,$0.00,$18.00,"$1,537.18",$371.59,$167.87,"-$2,400.75","$1,727.37",53.49%,54.64%,,,,,,,,,,$760.64,,,,,,,,,
,,2/17/2018 Sat,"$2,457.62",$741.26,$82.90,$40.62,"$1,029.59",$250.86,$88.70,"-$1,395.82","$1,037.75",46.08%,42.23%,,,,,,,,,,"$1,061.80",,,,,,,,,
,,2/18/2018 Sun,"$2,978.65",$693.32,$229.29,$14.34,"$1,337.48",$334.34,$98.86,"-$2,335.42","$1,775.89",49.39%,59.62%,,,,,,,,,,$643.23,,,,,,,,,
,,2/19/2018 Mon,"$2,812.14",$646.88,$79.90,$12.25,"$1,499.23",$239.02,$79.01,"-$1,686.45","$1,274.75",58.64%,45.33%,,Week 49,"$2,880.49",$670.68,$194.23,$16.31,"$1,335.99",$276.15,$124.78,"$1,125.69","$6,991.10",,,,,,,,
,,2/20/2018 Tue,"$2,813.65",$785.82,$165.00,$10.38,"$1,261.64",$218.63,$116.21,"-$1,733.57","$1,093.63",49.32%,38.87%,,,,,,,,,,"$1,080.08",,,,,,,,,
,,2/21/2018 Wed,"$2,419.40",$661.05,$70.90,$15.09,"$1,055.21",$271.59,$125.40,"-$1,382.20",$756.33,47.98%,31.26%,,,,,,,,,,"$1,037.20",,,,,,,,,
,,2/22/2018 Thu,"$3,252.50",$647.62,$304.60,$30.65,"$1,544.26",$276.86,$150.62,"-$2,416.49","$1,869.80",52.23%,57.49%,,,,,,,,,,$836.01,,,,,,,,,
,,2/23/2018 Fri,"$3,289.48",$726.69,$384.70,$21.01,"$1,410.47",$295.51,$151.83,"-$2,308.28","$1,773.54",47.17%,53.92%,,,,,,,,,,$981.20,,,,,,,,,
,,2/24/2018 Sat,"$3,122.62",$663.28,$194.70,$20.47,"$1,445.12",$381.49,$133.48,"-$1,807.84","$1,236.69",50.91%,39.60%,,,,,,,,,,"$1,314.78",,,,,,,,,
,,2/25/2018 Sun,"$2,453.61",$563.42,$159.80,$4.34,"$1,136.00",$249.98,$116.88,"-$1,837.47","$1,392.35",50.93%,56.75%,,,,,,,,,,$616.14,,,,,,,,,
,,2/26/2018 Mon,"$2,067.20",$616.28,$0.00,$16.51,$848.11,$329.72,$68.44,"-$1,544.83","$1,098.62",45.13%,53.15%,,Week 50,"$2,750.25",$705.28,$188.69,$25.92,"$1,184.26",$275.33,$123.08,$522.37,"$6,461.78",,,,,,,,
,,2/27/2018 Tue,"$2,340.46",$648.60,$82.90,$17.35,"$1,009.84",$234.70,$134.02,"-$1,501.26","$1,066.94",47.46%,45.59%,,,,,,,,,,$839.20,,,,,,,,,
,,2/28/2018 Wed,"$2,313.96",$658.78,$0.00,$36.04,"$1,025.96",$238.69,$143.92,"-$1,127.81",$796.25,48.77%,34.41%,,,,,,,,,,"$1,186.15",,,,,,,,,
2018년 3월,매출 보고,3/1/2018 Thu,"$2,989.24",$719.34,$154.30,$24.08,"$1,383.20",$311.54,$124.77,"-$1,934.82","$1,469.43",50.90%,49.16%,,,,,,,,,,"$1,054.42",,,,,,,,,
,,3/2/2018 Fri,"$3,666.23",$817.33,$159.80,$31.09,"$1,842.81",$305.42,$194.18,"-$2,542.68","$1,878.82",55.29%,51.25%,,,,,,,,,,"$1,123.55",,,,,,,,,
실제 수익,"$90,517.98",3/3/2018 Sat,"$3,664.63",$870.22,$547.86,$37.17,"$1,517.81",$247.07,$111.18,"-$2,615.11","$1,925.60",45.56%,52.55%,,,,,,,,,,"$1,049.52",,,,,,,,,
보고 수익,"$65,637.80",3/4/2018 Sun,"$2,210.01",$606.39,$376.00,$19.22,$662.11,$260.16,$85.02,"-$1,523.44",$958.01,32.96%,43.35%,,,,,,,,,,$686.57,,,,,,,,,
카드 수익,"$47,551.86",3/5/2018 Mon,"$2,920.44",$597.04,$224.70,$12.29,"$1,492.86",$277.15,$50.70,"-$2,199.35","$1,619.97",56.23%,55.47%,,Week 51,"$3,030.22",$737.85,$225.63,$22.47,"$1,380.11",$277.24,$112.72,$721.09,"$5,260.53",,,,,,,,
,"$18,085.94",3/6/2018 Tue,"$2,899.66",$860.73,$142.80,$28.76,"$1,303.98",$243.81,$66.22,"-$2,185.76","$1,672.91",49.47%,57.69%,,,,,,,,,,$713.90,,,,,,,,,
담배 수익,"$28,046.80",3/7/2018 Wed,"$2,920.85",$670.85,$153.80,$20.84,"$1,400.14",$291.74,$117.76,"-$2,513.93","$1,711.11",52.73%,58.58%,,,,,,,,,,$406.92,,,,,,,,,
그로서리 수익,$718.02,3/8/2018 Thu,"$3,036.47",$930.62,$223.20,$21.60,"$1,198.44",$261.68,$124.67,"-$2,300.05","$1,796.02",43.42%,59.15%,,,,,,,,,,$736.42,,,,,,,,,
잡화 수익,"$40,809.12",3/9/2018 Fri,"$3,466.44",$702.82,$374.00,$22.11,"$1,575.74",$323.88,$152.50,"-$2,495.64","$1,900.16",50.00%,54.82%,,,,,,,,,,$970.80,,,,,,,,,
토바코 수익,"$9,055.61",3/10/2018 Sat,"$2,980.78",$726.89,$319.10,$26.27,"$1,201.73",$240.07,$195.52,"-$1,853.90","$1,456.97",44.35%,48.88%,,,,,,,,,,"$1,126.88",,,,,,,,,
맥주 수익,"$3,761.96",3/11/2018 Sun,"$2,986.91",$676.00,$141.80,$25.45,"$1,487.87",$302.33,$81.69,"-$2,402.39","$1,801.53",54.79%,60.31%,,,,,,,,,,$584.52,,,,,,,,,
,,3/12/2018 Mon,"$2,195.74",$765.40,$0.00,$18.31,$810.52,$265.43,$139.53,"-$1,396.82",$880.28,40.60%,40.09%,,Week 52,"$2,915.20",$723.42,$174.63,$20.61,"$1,305.29",$274.67,$152.20,$798.92,"$5,820.56",,,,,,,,
,,3/13/2018 Tue,"$2,760.19",$577.65,$242.70,$29.47,"$1,299.42",$211.97,$147.81,"-$2,118.29","$1,430.09",51.78%,51.81%,,,,,,,,,,$641.90,,,,,,,,,
,,3/14/2018 Wed,"$2,834.79",$798.53,$173.80,$20.19,"$1,028.81",$348.25,$210.96,"-$1,906.49","$1,258.27",39.92%,44.39%,,,,,,,,,,$928.30,,,,,,,,,
,,3/15/2018 Thu,"$3,130.67",$699.90,$149.30,$17.28,"$1,485.24",$310.47,$183.55,"-$2,155.27","$1,596.79",52.19%,51.00%,,,,,,,,,,$975.40,,,,,,,,,
,,3/16/2018 Fri,"$3,810.33",$831.46,$273.60,$24.76,"$1,890.40",$234.54,$208.03,"-$2,847.63","$2,106.27",54.57%,55.28%,,,,,,,,,,$962.70,,,,,,,,,
,,3/17/2018 Sat,"$3,546.90",$773.34,$223.20,$23.68,"$1,785.23",$316.06,$102.70,"-$2,443.21","$1,835.65",55.37%,51.75%,,,,,,,,,,"$1,103.69",,,,,,,,,
,,3/18/2018 Sun,"$2,127.75",$617.65,$159.80,$10.55,$837.40,$235.94,$72.83,"-$1,718.10","$1,280.48",43.29%,60.18%,,,,,,,,,,$409.65,,,,,,,,,
,,3/19/2018 Mon,"$2,532.66",$695.08,$82.90,$30.77,"$1,045.60",$356.35,$91.46,"-$1,590.10","$1,012.51",45.41%,39.98%,,Week 53,"$2,815.09",$682.69,$230.97,$22.75,"$1,223.82",$294.93,$108.66,$942.56,"$6,030.96",,,,,,,,
,,3/20/2018 Tue,"$2,964.09",$713.71,$480.10,$11.93,"$1,146.29",$241.03,$127.17,"-$2,100.48","$1,503.59",42.54%,50.73%,,,,,,,,,,$863.61,,,,,,,,,
,,3/21/2018 Wed,"$2,595.94",$634.88,$0.00,$39.02,"$1,308.87",$273.34,$111.99,"-$1,935.36","$1,357.71",55.46%,52.30%,,,,,,,,,,$660.58,,,,,,,,,
,,3/22/2018 Thu,"$3,330.07",$747.48,$300.60,$31.20,"$1,616.65",$247.21,$83.98,"-$2,258.39","$1,644.35",53.40%,49.38%,,,,,,,,,,"$1,071.68",,,,,,,,,
,,3/23/2018 Fri,"$3,061.88",$777.21,$168.00,$16.50,"$1,271.39",$375.03,$175.15,"-$2,203.14","$1,603.05",45.68%,52.36%,,,,,,,,,,$858.74,,,,,,,,,
,,3/24/2018 Sat,"$3,039.37",$709.38,$287.60,$16.87,"$1,301.90",$348.30,$98.76,"-$1,993.62","$1,457.45",47.12%,47.95%,,,,,,,,,,"$1,045.75",,,,,,,,,
,,3/25/2018 Sun,"$2,181.61",$501.10,$297.60,$12.95,$876.07,$223.27,$72.10,"-$1,593.57","$1,173.34",44.17%,53.78%,,,,,,,,,,$588.04,,,,,,,,,
,,3/26/2018 Mon,"$2,609.58",$509.48,$0.00,$15.29,"$1,532.35",$237.02,$80.96,"-$1,513.36","$1,122.22",64.59%,43.00%,,Week 54,"$2,674.34",$584.00,$144.75,$22.23,"$1,271.10",$308.07,$106.68,"$1,096.22","$4,510.75",,,,,,,,
,,3/27/2018 Tue,"$3,085.86",$641.99,$320.09,$20.35,"$1,455.79",$265.45,$123.40,"-$2,670.40","$2,043.82",51.89%,66.23%,,,,,,,,,,$415.46,,,,,,,,,
,,3/28/2018 Wed,"$2,507.53",$435.99,$168.30,$36.78,"$1,173.64",$353.61,$126.97,"-$1,963.07","$1,236.90",51.49%,49.33%,,,,,,,,,,$544.46,,,,,,,,,
,,3/29/2018 Thu,"$2,552.01",$357.21,$150.80,$25.52,"$1,180.44",$506.29,$99.54,"-$1,931.12","$1,391.77",50.88%,54.54%,,,,,,,,,,$620.89,,,,,,,,,
,,3/30/2018 Fri,"$3,300.38",$801.92,$228.70,$26.07,"$1,531.58",$319.83,$91.94,"-$2,875.43","$2,139.73",51.05%,64.83%,,,,,,,,,,$424.95,,,,,,,,,
,,3/31/2018 Sat,"$2,608.97",$754.76,$0.00,$21.65,"$1,164.84",$321.37,$108.92,"-$1,856.88","$1,287.06",49.11%,49.33%,,,,,,,,,,$752.09,,,,,,,,,
2018년 4월,매출 보고,4/1/2018 Sun,"$2,056.06",$586.67,$145.39,$9.97,$859.03,$152.91,$115.05,"-$1,399.38",$977.99,45.96%,47.57%,,,,,,,,,,$656.68,,,,,,,,,
,,4/2/2018 Mon,"$3,265.46",$821.17,$241.70,$37.80,"$1,452.56",$299.18,$115.92,"-$2,110.47","$1,442.86",48.93%,44.19%,,Week 55,"$3,070.74",$745.54,$285.37,$26.76,"$1,284.54",$321.93,$127.68,"$1,154.99","$6,370.41",,,,,,,,
실제 수익,"$87,231.16",4/3/2018 Tue,"$2,621.32",$820.63,$155.80,$9.02,"$1,070.27",$249.16,$77.85,"-$1,808.13","$1,177.47",44.91%,44.92%,,,,,,,,,,$813.19,,,,,,,,,
보고 수익,"$57,177.01",4/4/2018 Wed,"$2,383.93",$738.58,$79.90,$28.06,$840.02,$364.51,$119.50,"-$1,494.27","$1,140.96",38.76%,47.86%,,,,,,,,,,$889.66,,,,,,,,,
카드 수익,"$41,855.53",4/5/2018 Thu,"$3,779.75",$790.25,$507.30,$25.29,"$1,675.04",$321.66,$116.33,"-$2,470.01","$1,846.76",48.75%,48.86%,,,,,,,,,,"$1,309.74",,,,,,,,,
,"$15,321.48",4/6/2018 Fri,"$3,930.45",$832.45,$357.59,$43.60,"$1,783.84",$361.14,$194.20,"-$2,930.45","$2,238.27",49.92%,56.95%,,,,,,,,,,"$1,000.00",,,,,,,,,
담배 수익,"$28,702.51",4/7/2018 Sat,"$2,934.32",$733.11,$331.60,$14.58,"$1,049.16",$377.88,$160.94,"-$2,231.02","$1,736.30",39.33%,59.17%,,,,,,,,,,$703.30,,,,,,,,,
그로서리 수익,$735.33,4/8/2018 Sun,"$2,579.92",$482.58,$323.70,$28.95,"$1,120.91",$279.98,$109.04,"-$2,080.39","$1,533.45",47.79%,59.44%,,,,,,,,,,$499.53,,,,,,,,,
잡화 수익,"$37,246.90",4/9/2018 Mon,"$2,616.55",$558.97,$159.80,$10.53,"$1,303.07",$200.84,$145.24,"-$1,553.67","$1,098.65",54.78%,41.99%,,Week 56,"$2,757.21",$686.78,$158.26,$20.93,"$1,231.76",$279.64,$128.98,"$1,062.88","$6,520.61",,,,,,,,
토바코 수익,"$8,674.69",4/10/2018 Tue,"$2,246.15",$560.53,$159.80,$23.47,$951.47,$208.79,$137.66,"-$1,227.96",$910.73,46.60%,40.55%,,,,,,,,,,"$1,018.19",,,,,,,,,
맥주 수익,"$3,923.53",4/11/2018 Wed,"$2,136.03",$645.11,$152.80,$19.21,$686.67,$278.26,$159.56,"-$1,385.20",$963.02,35.36%,45.08%,,,,,,,,,,$750.83,,,,,,,,,
,,4/12/2018 Thu,"$3,398.97",$819.81,$196.90,$13.93,"$1,607.10",$341.64,$110.58,-$935.46,$579.84,52.01%,17.06%,Approximated,,P,O,W,E,R,OUT,(Modified),$863.51,,,,,,,,,
,,4/13/2018 Fri,"$3,190.82",$642.25,$152.80,$31.37,"$1,562.59",$385.33,$126.12,"-$2,143.98","$1,605.63",53.87%,50.32%,,,,,,,,,,"$1,046.84",,,,,,,,,
,,4/14/2018 Sat,"$3,325.70",$784.57,$151.80,$30.68,"$1,634.13",$277.33,$144.57,"-$2,292.25","$1,764.94",54.05%,53.07%,,,,,,,,,,"$1,033.45",,,,,,,,,
,,4/15/2018 Sun,"$2,386.27",$796.21,$133.90,$17.30,$877.30,$265.31,$79.10,"-$1,641.36","$1,283.02",40.44%,53.77%,,,,,,,,,,$744.91,,,,,,,,,
,,4/16/2018 Mon,"$2,764.69","$1,029.63",$0.00,$24.59,"$1,039.23",$320.96,$123.26,"-$1,578.14","$1,104.33",41.35%,39.94%,,Week 57,"$2,889.78",$852.65,$122.29,$27.50,"$1,202.07",$290.19,$135.77,"$1,186.55","$6,768.39",,,,,,,,
,,4/17/2018 Tue,"$2,351.16",$666.37,$0.00,$26.02,"$1,073.77",$245.60,$125.41,"-$1,703.60","$1,202.91",50.24%,51.16%,,,,,,,,,,$647.56,,,,,,,,,
,,4/18/2018 Wed,"$2,720.08",$867.80,$374.50,$27.96,$918.67,$192.83,$90.82,"-$1,729.23","$1,273.29",37.15%,46.81%,,,,,,,,,,$990.85,,,,,,,,,
,,4/19/2018 Thu,"$2,623.93",$999.55,$80.90,$39.54,$874.49,$229.52,$161.16,"-$1,633.08","$1,193.89",36.66%,45.50%,,,,,,,,,,$990.85,,,,,,,,,
,,4/20/2018 Fri,"$4,257.40","$1,002.90",$170.80,$27.22,"$1,944.92",$477.10,$247.01,"-$3,233.11","$2,372.14",50.25%,55.72%,,,,,,,,,,"$1,024.29",,,,,,,,,
,,4/21/2018 Sat,"$3,351.33",$873.43,$155.80,$25.59,"$1,556.56",$331.27,$104.80,"-$2,193.85","$1,647.43",51.09%,49.16%,,,,,,,,,,"$1,157.48",,,,,,,,,
,,4/22/2018 Sun,"$2,159.87",$528.90,$74.00,$21.60,"$1,006.82",$234.03,$97.95,"-$1,389.06","$1,050.40",51.28%,48.63%,,,,,,,,,,$770.81,,,,,,,,,
,,4/23/2018 Mon,"$2,959.23",$685.64,$149.80,$35.36,"$1,469.30",$233.88,$119.18,"-$1,926.64","$1,425.51",54.62%,48.17%,,Week 58,"$3,002.75",$733.48,$229.70,$24.21,"$1,329.57",$276.88,$129.98,"$1,032.59","$7,085.12",,,,,,,,
,,4/24/2018 Tue,"$2,903.28",$875.35,$300.60,$13.31,"$1,077.29",$266.61,$51.63,"-$1,946.49","$1,402.49",40.82%,48.31%,,,,,,,,,,$956.79,,,,,,,,,
,,4/25/2018 Wed,"$2,652.29",$592.79,$71.90,$20.83,"$1,250.10",$342.21,$133.04,"-$1,716.34","$1,248.91",51.85%,47.09%,,,,,,,,,,$935.95,,,,,,,,,
,,4/26/2018 Thu,"$2,650.81",$671.26,$380.50,$28.18,$857.60,$283.67,$191.00,"-$1,754.77","$1,317.86",35.59%,49.72%,,,,,,,,,,$896.04,,,,,,,,,
,,4/27/2018 Fri,"$3,732.90",$949.38,$139.80,$29.80,"$1,785.75",$301.55,$186.96,"-$2,523.01","$1,826.83",52.62%,48.94%,,,,,,,,,,"$1,209.89",,,,,,,,,
,,4/28/2018 Sat,"$3,427.59",$696.98,$328.60,$25.41,"$1,622.36",$303.54,$147.54,"-$2,301.93","$1,695.93",52.07%,49.48%,,,,,,,,,,"$1,125.66",,,,,,,,,
,,4/29/2018 Sun,"$2,693.17",$662.98,$236.70,$16.57,"$1,244.58",$206.70,$80.53,"-$1,764.97","$1,372.19",50.83%,50.95%,,,,,,,,,,$928.20,,,,,,,,,
,,4/30/2018 Mon,"$3,131.73",$807.38,$464.60,$29.59,"$1,052.30",$341.30,$151.58,"-$2,078.79","$1,421.53",36.96%,45.39%,,Week 59,"$3,011.97",$792.50,$249.84,$27.94,"$1,210.43",$297.11,$162.15,"$1,052.94","$6,666.24",,,,,,,,
2018년 5월,매출 보고,5/1/2018 Tue,"$2,764.47",$735.30,$0.00,$18.25,"$1,381.07",$247.93,$130.29,"-$1,930.87","$1,357.81",54.95%,49.12%,,,,,,,,,,$833.60,,,,,,,,,
,,5/2/2018 Wed,"$2,993.72",$717.78,$392.50,$43.17,"$1,156.59",$320.49,$90.73,"-$2,041.24","$1,402.91",42.50%,46.86%,,,,,,,,,,$952.48,,,,,,,,,
실제 수익,"$93,521.54",5/3/2018 Thu,"$2,907.71",$894.06,$236.70,$18.87,"$1,073.48",$268.91,$154.89,"-$1,856.74","$1,343.06",40.61%,46.19%,,,,,,,,,,"$1,050.97",,,,,,,,,
보고 수익,"$65,179.28",5/4/2018 Fri,"$3,377.29","$1,012.82",$119.80,$27.79,"$1,321.58",$347.67,$240.33,"-$2,369.74","$1,682.69",43.04%,49.82%,,,,,,,,,,"$1,007.55",,,,,,,,,
카드 수익,"$48,626.37",5/5/2018 Sat,"$2,759.59",$622.96,$248.70,$36.54,"$1,175.13",$312.63,$121.55,"-$1,916.96","$1,395.13",46.84%,50.56%,,,,,,,,,,$842.63,,,,,,,,,
,"$16,552.91",5/6/2018 Sun,"$3,149.30",$757.17,$286.60,$21.37,"$1,312.83",$240.84,$245.69,"-$2,223.23","$1,536.44",45.86%,48.79%,,,,,,,,,,$926.07,,,,,,,,,
담배 수익,"$31,895.26",5/7/2018 Mon,"$3,847.59",$996.01,$71.90,$36.63,"$1,936.29",$280.36,$149.53,"-$2,520.05","$1,759.53",55.36%,45.73%,,Week 60,"$3,172.19",$779.55,$230.41,$31.89,"$1,395.66",$284.69,$161.23,"$1,327.54","$6,366.63",,,,,,,,
그로서리 수익,$858.22,5/8/2018 Tue,"$2,982.39",$665.92,$164.80,$26.98,"$1,389.85",$302.86,$160.55,"-$1,949.55","$1,423.98",51.26%,47.75%,,,,,,,,,,"$1,032.84",,,,,,,,,
잡화 수익,"$38,905.02",5/9/2018 Wed,"$2,725.65",$747.85,$161.80,$33.14,"$1,282.82",$161.20,$107.80,"-$1,618.18","$1,374.86",51.77%,50.44%,,,,,,,,,,"$1,107.47",,,,,,,,,
토바코 수익,"$8,818.55",5/10/2018 Thu,"$3,320.77",$597.89,$540.30,$27.81,"$1,257.90",$397.81,$196.89,"-$2,779.37","$1,950.00",41.67%,58.72%,,,,,,,,,,$541.40,,,,,,,,,
맥주 수익,"$4,554.97",5/11/2018 Fri,"$2,859.94",$784.04,$152.80,$45.04,"$1,179.80",$248.11,$189.86,"-$2,345.71","$1,700.25",45.38%,59.45%,,,,,,,,,,$514.23,,,,,,,,,
,,5/12/2018 Sat,"$3,558.04",$732.50,$362.50,$29.08,"$1,574.72",$415.91,$128.65,"-$2,555.89","$1,850.24",48.68%,52.00%,,,,,,,,,,"$1,002.15",,,,,,,,,
,,5/13/2018 Sun,"$2,910.98",$932.65,$158.80,$24.52,"$1,148.21",$186.55,$195.33,"-$2,069.98","$1,692.09",43.39%,58.13%,,,,,,,,,,$841.00,,,,,,,,,
,,5/14/2018 Mon,"$3,152.32",$853.85,$243.70,$35.86,"$1,179.11",$348.96,$203.96,"-$2,078.87","$1,556.44",41.14%,49.37%,,Week 61,"$3,099.88",$853.22,$199.67,$25.31,"$1,289.52",$298.60,$152.10,"$1,073.45","$6,114.67",,,,,,,,
,,5/15/2018 Tue,"$2,489.11",$781.29,$225.10,$17.36,$906.24,$205.63,$128.45,"-$1,787.80","$1,325.69",40.05%,53.26%,,,,,,,,,,$701.31,,,,,,,,,
,,5/16/2018 Wed,"$3,128.72",$767.85,$89.90,$23.52,"$1,475.76",$363.64,$123.31,"-$2,249.55","$1,782.49",51.88%,56.97%,,,,,,,,,,$879.17,,,,,,,,,
,,5/17/2018 Thu,"$2,647.33",$685.49,$227.70,$15.33,"$1,104.63",$239.22,$137.04,"-$1,677.95","$1,199.80",45.90%,45.32%,,,,,,,,,,$969.38,,,,,,,,,
,,5/18/2018 Fri,"$3,485.19",$934.13,$77.90,$36.76,"$1,502.69",$444.02,$172.54,"-$2,649.48","$1,981.78",47.43%,56.86%,,,,,,,,,,$835.71,,,,,,,,,
,,5/19/2018 Sat,"$3,255.45",$912.96,$149.80,$25.37,"$1,468.83",$252.94,$149.25,"-$2,550.01","$1,905.52",49.63%,58.53%,,,,,,,,,,$705.44,,,,,,,,,
