,dates,total,pack,carton,grcy,misc_total,tobacco,beer,main,card
284,2018-01-06,3478.29,741.86,548.5,21.41,1374.13,341.14,134.93,-2241.35,1517.2
285,2018-01-07,2057.2,524.52,230.7,12.96,769.52,234.74,89.1,-1336.34,987.54
286,2018-01-08,2508.63,720.65,153.8,16.88,1101.34,249.68,55.25,-1531.55,1077.15
287,2018-01-09,3175.72,773.57,215.3,17.19,1547.07,221.99,109.92,-1905.61,1255.57
288,2018-01-10,2416.82,454.55,159.8,23.16,1258.11,214.4,110.54,-1603.54,1269.31
289,2018-01-11,2125.7,692.18,79.9,13.11,835.22,214.33,47.83,-1375.85,1099.08
290,2018-01-12,2876.1,707.96,311.1,22.27,1143.11,322.64,107.74,-1902.06,1303.98
291,2018-01-13,2332.82,574.36,223.2,30.74,975.65,251.83,64.7,-1367.52,1053.64
292,2018-01-14,2213.79,671.07,250.7,25.93,803.83,172.3,89.38,-1350.58,982.65
293,2018-01-15,2287.44,741.39,159.8,21.49,805.18,230.83,119.67,-1477.69,1159.66
294,2018-01-16,2620.7,761.63,462.99,23.78,778.54,246.89,108.44,-1877.57,1236.98
295,2018-01-17,1875.38,600.26,59.9,21.77,705.37,248.62,68.83,-1083.03,820.04
296,2018-01-18,2696.85,720.77,0.0,16.93,1310.73,286.61,116.39,-1669.95,1276.02
297,2018-01-19,2689.1,669.0,307.6,35.27,995.58,298.41,138.53,-1818.19,1343.66
298,2018-01-20,2641.86,628.81,221.7,27.22,1070.08,344.78,109.0,-1803.24,1327.8
299,2018-01-21,1877.52,625.86,61.9,19.08,644.24,264.1,91.42,-1325.52,957.9
300,2018-01-22,3172.68,925.52,394.5,10.33,1146.8,268.26,138.64,-2039.36,1513.25
301,2018-01-23,1922.07,556.76,159.8,28.69,785.2,161.13,55.57,-1204.39,857.9
302,2018-01-24,3096.83,822.65,70.9,15.58,1569.2,239.92,96.83,-1768.25,1327.27
303,2018-01-25,2147.19,611.68,0.0,34.37,870.87,318.78,116.11,-1246.2,790.57
304,2018-01-26,2670.4,710.38,74.4,21.53,1266.3,272.9,81.9,-1787.71,1268.11
305,2018-01-27,2520.37,820.86,139.8,26.94,1010.31,197.66,95.4,-1771.71,1372.63
306,2018-01-28,2434.49,659.22,387.7,21.38,783.24,256.32,105.27,-1734.0,1342.71
307,2018-01-29,2186.02,675.81,236.7,16.22,682.97,275.23,100.21,-1441.22,998.01
308,2018-01-30,2668.42,742.67,298.6,19.32,1027.47,213.9,123.65,-2005.64,1548.01
309,2018-01-31,2559.29,630.14,234.7,25.23,1099.33,247.79,89.2,-1651.06,1229.45
310,2018-02-01,2752.67,722.22,93.9,26.57,1045.95,463.47,150.07,-1862.56,1324.65
311,2018-02-02,3790.33,988.86,157.3,35.01,1597.8,525.25,141.29,-2367.51,1885.9
312,2018-02-03,2588.3,836.27,146.8,43.41,837.86,374.01,114.36,-1657.38,1040.4
313,2018-02-04,2501.64,660.4,159.8,15.97,1051.41,259.01,127.42,-1599.53,1190.24
314,2018-02-05,2581.71,770.07,0.0,11.11,1197.26,222.05,146.3,-1521.19,1092.5
315,2018-02-06,2848.27,695.93,218.7,26.07,1259.82,251.74,136.85,-2000.66,1430.05
316,2018-02-07,2604.62,778.45,79.9,27.85,1064.36,323.57,93.5,-1742.0,1210.63
317,2018-02-08,2495.2,670.71,222.2,23.85,908.06,337.88,105.42,-1982.05,1525.7
318,2018-02-09,3581.32,825.01,425.2,10.43,1575.37,272.47,147.01,-2705.37,2061.27
319,2018-02-10,3014.11,850.03,89.9,23.64,1341.23,273.77,161.3,-1876.61,1358.97
320,2018-02-11,2239.28,793.57,59.9,28.83,801.12,252.32,99.78,-1546.57,1129.49
321,2018-02-12,2438.8,652.45,61.9,16.85,1030.28,346.45,108.91,-1607.24,1169.07
322,2018-02-13,2106.46,613.64,173.8,23.99,794.16,213.68,95.52,-1401.55,1017.95
323,2018-02-14,3012.83,670.74,224.7,25.0,1457.36,250.66,110.22,-1895.52,1366.66
324,2018-02-15,3667.94,763.53,523.3,41.93,1646.69,204.55,154.25,-2733.66,2014.1
325,2018-02-16,3161.39,779.06,0.0,18.0,1537.18,371.59,167.87,-2400.75,1727.37
326,2018-02-17,2457.62,741.26,82.9,40.62,1029.59,250.86,88.7,-1395.82,1037.75
327,2018-02-18,2978.65,693.32,229.29,14.34,1337.48,334.34,98.86,-2335.42,1775.89
328,2018-02-19,2812.14,646.88,79.9,12.25,1499.23,239.02,79.01,-1686.45,1274.75
329,2018-02-20,2813.65,785.82,165.0,10.38,1261.64,218.63,116.21,-1733.57,1093.63
330,2018-02-21,2419.4,661.05,70.9,15.09,1055.21,271.59,125.4,-1382.2,756.33
331,2018-02-22,3252.5,647.62,304.6,30.65,1544.26,276.86,150.62,-2416.49,1869.8
332,2018-02-23,3289.48,726.69,384.7,21.01,1410.47,295.51,151.83,-2308.28,1773.54
333,2018-02-24,3122.62,663.28,194.7,20.47,1445.12,381.49,133.48,-1807.84,1236.69
334,2018-02-25,2453.61,563.42,159.8,4.34,1136.0,249.98,116.88,-1837.47,1392.35
335,2018-02-26,2067.2,616.28,0.0,16.51,848.11,329.72,68.44,-1544.83,1098.62
336,2018-02-27,2340.46,648.6,82.9,17.35,1009.84,234.7,134.02,-1501.26,1066.94
337,2018-02-28,2313.96,658.78,0.0,36.04,1025.96,238.69,143.92,-1127.81,796.25
338,2018-03-01,2989.24,719.34,154.3,24.08,1383.2,311.54,124.77,-1934.82,1469.43
339,2018-03-02,3666.23,817.33,159.8,31.09,1842.81,305.42,194.18,-2542.68,1878.82
340,2018-03-03,3664.63,870.22,547.86,37.17,1517.81,247.07,111.18,-2615.11,1925.6
341,2018-03-04,2210.01,606.39,376.0,19.22,662.11,260.16,85.02,-1523.44,958.01
342,2018-03-05,2920.44,597.04,224.7,12.29,1492.86,277.15,50.7,-2199.35,1619.97
343,2018-03-06,2899.66,860.73,142.8,28.76,1303.98,243.81,66.22,-2185.76,1672.91
344,2018-03-07,2920.85,670.85,153.8,20.84,1400.14,291.74,117.76,-2513.93,1711.11
345,2018-03-08,3036.47,930.62,223.2,21.6,1198.44,261.68,124.67,-2300.05,1796.02
346,2018-03-09,3466.44,702.82,374.0,22.11,1575.74,323.88,152.5,-2495.64,1900.16
347,2018-03-10,2980.78,726.89,319.1,26.27,1201.73,240.07,195.52,-1853.9,1456.97
348,2018-03-11,2986.91,676.0,141.8,25.45,1487.87,302.33,81.69,-2402.39,1801.53
349,2018-03-12,2195.74,765.4,0.0,18.31,810.52,265.43,139.53,-1396.82,880.28
350,2018-03-13,2760.19,577.65,242.7,29.47,1299.42,211.97,147.81,-2118.29,1430.09
351,2018-03-14,2834.79,798.53,173.8,20.19,1028.81,348.25,210.96,-1906.49,1258.27
352,2018-03-15,3130.67,699.9,149.3,17.28,1485.24,310.47,183.55,-2155.27,1596.79
353,2018-03-16,3810.33,831.46,273.6,24.76,1890.4,234.54,208.03,-2847.63,2106.27
354,2018-03-17,3546.9,773.34,223.2,23.68,1785.23,316.06,102.7,-2443.21,1835.65
355,2018-03-18,2127.75,617.65,159.8,10.55,837.4,235.94,72.83,-1718.1,1280.48
356,2018-03-19,2532.66,695.08,82.9,30.77,1045.6,356.35,91.46,-1590.1,1012.51
357,2018-03-20,2964.09,713.71,480.1,11.93,1146.29,241.03,127.17,-2100.48,1503.59
358,2018-03-21,2595.94,634.88,0.0,39.02,1308.87,273.34,111.99,-1935.36,1357.71
359,2018-03-22,3330.07,747.48,300.6,31.2,1616.65,247.21,83.98,-2258.39,1644.35
360,2018-03-23,3061.88,777.21,168.0,16.5,1271.39,375.03,175.15,-2203.14,1603.05
361,2018-03-24,3039.37,709.38,287.6,16.87,1301.9,348.3,98.76,-1993.62,1457.45
362,2018-03-25,2181.61,501.1,297.6,12.95,876.07,223.27,72.1,-1593.57,1173.34
363,2018-03-26,2609.58,509.48,0.0,15.29,1532.35,237.02,80.96,-1513.36,1122.22
364,2018-03-27,3085.86,641.99,320.09,20.35,1455.79,265.45,123.4,-2670.4,2043.82
365,2018-03-28,2507.53,435.99,168.3,36.78,1173.64,353.61,126.97,-1963.07,1236.9
366,2018-03-29,2552.01,357.21,150.8,25.52,1180.44,506.29,99.54,-1931.12,1391.77
367,2018-03-30,3300.38,801.92,228.7,26.07,1531.58,319.83,91.94,-2875.43,2139.73
368,2018-03-31,2608.97,754.76,0.0,21.65,1164.84,321.37,108.92,-1856.88,1287.06
369,2018-04-01,2056.06,586.67,145.39,9.97,859.03,152.91,115.05,-1399.38,977.99
370,2018-04-02,3265.46,821.17,241.7,37.8,1452.56,299.18,115.92,-2110.47,1442.86
371,2018-04-03,2621.32,820.63,155.8,9.02,1070.27,249.16,77.85,-1808.13,1177.47
372,2018-04-04,2383.93,738.58,79.9,28.06,840.02,364.51,119.5,-1494.27,1140.96
373,2018-04-05,3779.75,790.25,507.3,25.29,1675.04,321.66,116.33,-2470.01,1846.76
374,2018-04-06,3930.45,832.45,357.59,43.6,1783.84,361.14,194.2,-2930.45,2238.27
375,2018-04-07,2934.32,733.11,331.6,14.58,1049.16,377.88,160.94,-2231.02,1736.3
376,2018-04-08,2579.92,482.58,323.7,28.95,1120.91,279.98,109.04,-2080.39,1533.45
377,2018-04-09,2616.55,558.97,159.8,10.53,1303.07,200.84,145.24,-1553.67,1098.65
378,2018-04-10,2246.15,560.53,159.8,23.47,951.47,208.79,137.66,-1227.96,910.73
379,2018-04-11,2136.03,645.11,152.8,19.21,686.67,278.26,159.56,-1385.2,963.02
380,2018-04-12,3398.97,819.81,196.9,13.93,1607.1,341.64,110.58,-935.46,579.84
381,2018-04-13,3190.82,642.25,152.8,31.37,1562.59,385.33,126.12,-2143.98,1605.63
382,2018-04-14,3325.7,784.57,151.8,30.68,1634.13,277.33,144.57,-2292.25,1764.94
383,2018-04-15,2386.27,796.21,133.9,17.3,877.3,265.31,79.1,-1641.36,1283.02
384,2018-04-16,2764.69,1029.63,0.0,24.59,1039.23,320.96,123.26,-1578.14,1104.33
385,2018-04-17,2351.16,666.37,0.0,26.02,1073.77,245.6,125.41,-1703.6,1202.91
386,2018-04-18,2720.08,867.8,374.5,27.96,918.67,192.83,90.82,-1729.23,1273.29
387,2018-04-19,2623.93,999.55,80.9,39.54,874.49,229.52,161.16,-1633.08,1193.89
388,2018-04-20,4257.4,1002.9,170.8,27.22,1944.92,477.1,247.01,-3233.11,2372.14
389,2018-04-21,3351.33,873.43,155.8,25.59,1556.56,331.27,104.8,-2193.85,1647.43
390,2018-04-22,2159.87,528.9,74.0,21.6,1006.82,234.03,97.95,-1389.06,1050.4
391,2018-04-23,2959.23,685.64,149.8,35.36,1469.3,233.88,119.18,-1926.64,1425.51
392,2018-04-24,2903.28,875.35,300.6,13.31,1077.29,266.61,51.63,-1946.49,1402.49
393,2018-04-25,2652.29,592.79,71.9,20.83,1250.1,342.21,133.04,-1716.34,1248.91
394,2018-04-26,2650.81,671.26,380.5,28.18,857.6,283.67,191.0,-1754.77,1317.86
395,2018-04-27,3732.9,949.38,139.8,29.8,1785.75,301.55,186.96,-2523.01,1826.83
396,2018-04-28,3427.59,696.98,328.6,25.41,1622.36,303.54,147.54,-2301.93,1695.93
397,2018-04-29,2693.17,662.98,236.7,16.57,1244.58,206.7,80.53,-1764.97,1372.19
398,2018-04-30,3131.73,807.38,464.6,29.59,1052.3,341.3,151.58,-2078.79,1421.53
399,2018-05-01,2764.47,735.3,0.0,18.25,1381.07,247.93,130.29,-1930.87,1357.81
400,2018-05-02,2993.72,717.78,392.5,43.17,1156.59,320.49,90.73,-2041.24,1402.91
401,2018-05-03,2907.71,894.06,236.7,18.87,1073.48,268.91,154.89,-1856.74,1343.06
402,2018-05-04,3377.29,1012.82,119.8,27.79,1321.58,347.67,240.33,-2369.74,1682.69
403,2018-05-05,2759.59,622.96,248.7,36.54,1175.13,312.63,121.55,-1916.96,1395.13
404,2018-05-06,3149.3,757.17,286.6,21.37,1312.83,240.84,245.69,-2223.23,1536.44
405,2018-05-07,3847.59,996.01,71.9,36.63,1936.29,280.36,149.53,-2520.05,1759.53
406,2018-05-08,2982.39,665.92,164.8,26.98,1389.85,302.86,160.55,-1949.55,1423.98
407,2018-05-09,2725.65,747.85,161.8,33.14,1282.82,161.2,107.8,-1618.18,1374.86
408,2018-05-10,3320.77,597.89,540.3,27.81,1257.9,397.81,196.89,-2779.37,1950.0
409,2018-05-11,2859.94,784.04,152.8,45.04,1179.8,248.11,189.86,-2345.71,1700.25
410,2018-05-12,3558.04,732.5,362.5,29.08,1574.72,415.91,128.65,-2555.89,1850.24
411,2018-05-13,2910.98,932.65,158.8,24.52,1148.21,186.55,195.33,-2069.98,1692.09
412,2018-05-14,3152.32,853.85,243.7,35.86,1179.11,348.96,203.96,-2078.87,1556.44
413,2018-05-15,2489.11,781.29,225.1,17.36,906.24,205.63,128.45,-1787.8,1325.69
414,2018-05-16,3128.72,767.85,89.9,23.52,1475.76,363.64,123.31,-2249.55,1782.49
415,2018-05-17,2647.33,685.49,227.7,15.33,1104.63,239.22,137.04,-1677.95,1199.8
416,2018-05-18,3485.19,934.13,77.9,36.76,1502.69,444.02,172.54,-2649.48,1981.78
417,2018-05-19,3255.45,912.96,149.8,25.37,1468.83,252.94,149.25,-2550.01,1905.52
418,2018-05-20,3541.03,1036.98,383.59,23.0,1389.38,235.79,150.12,-2590.82,2099.61
419,2018-05-21,2507.64,647.5,212.7,27.65,1022.28,239.07,129.22,-1610.21,1212.37
420,2018-05-22,2989.73,836.88,460.4,31.25,1080.05,176.44,132.75,-2051.13,1492.4
421,2018-05-23,2364.25,800.16,161.8,10.09,828.17,243.75,108.4,-1585.91,1257.42
422,2018-05-24,3006.72,855.57,77.9,22.99,1377.7,268.69,130.26,-1940.55,1522.64
423,2018-05-25,3490.22,1104.47,230.7,22.36,1357.38,289.88,167.84,-2669.63,2014.42
424,2018-05-26,3114.1,663.04,392.5,26.07,1427.11,230.26,91.75,-2223.68,1716.92
425,2018-05-27,2788.13,821.75,232.7,31.02,1134.56,232.44,81.96,-1787.29,1377.15
426,2018-05-28,2640.23,691.87,224.7,26.92,916.1,416.27,124.09,-1781.88,1316.87
427,2018-05-29,3262.66,1109.47,154.8,20.39,1161.72,377.18,142.17,-2025.32,1571.34
428,2018-05-30,2454.91,701.8,139.8,34.12,946.52,260.92,148.64,-1724.13,1284.23
429,2018-05-31,3046.36,644.66,265.7,38.97,1436.52,262.18,121.13,-2017.56,1540.29
430,2018-06-01,3921.94,956.75,222.7,30.7,1776.59,352.3,226.01,-2666.03,2167.23
431,2018-06-02,4013.9,1195.9,492.4,59.66,1426.91,332.72,141.08,-2672.96,1910.47
432,2018-06-03,2631.02,745.09,195.7,36.5,996.95,328.33,105.98,-1932.16,1438.42
433,2018-06-04,2808.76,729.32,70.8,18.65,1477.07,162.98,94.34,-1886.46,1361.18
434,2018-06-05,3341.04,1007.18,216.7,30.6,1329.25,360.44,92.81,-2162.41,1630.36
435,2018-06-06,3489.14,826.08,403.6,16.15,1507.37,240.08,158.59,-2240.09,1483.62
436,2018-06-07,2635.02,958.35,170.8,33.47,759.63,323.38,149.51,-1665.6,1190.73
437,2018-06-08,3823.16,926.5,373.0,44.74,1665.25,302.52,163.31,-2655.48,2001.22
438,2018-06-09,3471.74,910.46,71.9,21.85,1765.28,236.25,150.06,-2442.07,1949.39
439,2018-06-10,2860.42,526.74,153.8,23.43,1541.28,240.84,114.08,-1790.22,1356.96
440,2018-06-11,3199.14,1007.84,80.9,28.97,1393.89,257.2,139.2,-2128.22,1584.54
441,2018-06-12,2697.36,934.18,219.5,33.7,1023.57,151.83,89.11,-1668.9,1221.67
442,2018-06-13,3370.98,905.9,438.1,16.17,1297.88,214.97,191.22,-2580.51,2010.32
443,2018-06-14,2832.04,846.33,326.6,25.1,1031.15,236.4,108.74,-2181.78,1629.24
444,2018-06-15,3920.37,890.73,380.5,25.42,1805.81,321.68,139.54,-2869.46,2182.28
445,2018-06-16,3186.46,704.82,149.8,30.19,1812.21,245.77,153.75,-2266.55,1785.04
446,2018-06-17,2887.81,816.39,255.7,31.15,1093.38,291.17,137.26,-1869.24,1633.95
447,2018-06-18,2917.25,693.59,59.9,32.15,1522.78,220.35,123.0,-1533.44,1169.33
448,2018-06-19,2884.92,645.45,234.7,26.15,1216.73,331.89,170.79,-2033.51,1519.11
449,2018-06-20,3511.45,775.75,325.6,28.05,1677.47,241.48,143.6,-2597.08,1960.83
450,2018-06-21,3059.2,705.31,311.6,46.28,1274.74,305.6,137.29,-1970.0,1508.59
451,2018-06-22,3373.62,704.29,286.6,23.51,1595.26,238.96,218.0,-2650.31,2062.03
452,2018-06-23,2795.42,930.53,156.8,15.58,1134.81,208.37,94.95,-2114.07,1569.85
453,2018-06-24,2522.67,647.13,78.9,24.87,1147.04,248.45,146.73,-1614.15,1148.74
454,2018-06-25,3399.42,760.39,284.79,32.41,1579.94,319.43,117.41,-2663.02,2085.96
455,2018-06-26,3533.36,970.25,388.5,23.95,1347.63,364.61,114.25,-2376.38,1809.4
456,2018-06-27,2289.26,581.34,155.8,25.53,797.83,364.59,156.41,-1463.24,1069.04
457,2018-06-28,3059.5,675.01,154.8,40.27,1507.88,292.82,110.32,-2152.9,1636.37
458,2018-06-29,4319.13,1133.45,590.2,38.61,1674.48,351.13,138.27,-3276.66,2684.01
459,2018-06-30,3252.58,817.46,150.8,40.78,1537.04,260.24,169.22,-2183.36,1641.55
460,2018-07-01,2694.54,855.65,140.8,23.93,1075.66,239.89,113.41,-1795.22,1282.14
461,2018-07-02,3007.62,651.59,245.7,30.71,1278.3,436.54,91.09,-2258.47,1740.82
462,2018-07-03,3543.3,1103.06,170.8,58.73,1351.63,365.51,171.07,-2745.54,2066.85
463,2018-07-04,2783.07,757.48,80.9,37.79,1206.98,314.3,132.36,-2100.39,1683.79
464,2018-07-05,3212.64,941.59,362.5,32.72,1321.22,205.81,89.96,-2133.17,1585.38
465,2018-07-06,3665.66,941.75,252.7,21.47,1672.95,307.31,135.91,-2352.73,1852.31
466,2018-07-07,3428.91,990.8,355.5,24.36,1458.14,146.66,141.44,-2424.41,1730.31
467,2018-07-08,3202.29,732.17,154.8,26.12,1690.26,269.26,56.27,-2293.33,1775.69
468,2018-07-09,3546.12,834.94,314.6,31.97,1589.49,361.14,95.39,-2534.75,1995.11
469,2018-07-10,3384.72,826.99,366.5,23.92,1390.79,336.64,121.65,-2075.1,1521.01
470,2018-07-11,2445.66,659.28,195.7,18.68,978.84,248.49,123.1,-1762.44,1131.31
471,2018-07-12,2260.65,885.85,0.0,29.5,836.3,189.54,113.68,-1553.4,1006.91
472,2018-07-13,3496.18,943.13,72.9,36.65,1693.48,301.36,144.46,-2262.98,1629.08
473,2018-07-14,3286.93,873.27,433.5,28.32,1176.91,345.87,129.95,-2398.49,1766.18
474,2018-07-15,2712.7,703.7,393.5,20.71,1074.58,180.79,92.61,-2080.27,1619.88
475,2018-07-16,3090.3,754.93,242.7,19.36,1364.8,302.63,124.61,-2121.93,1663.0
476,2018-07-17,3706.37,818.68,593.2,33.31,1336.05,345.67,242.25,-3140.07,2492.2
477,2018-07-18,2622.99,745.98,218.7,23.09,1001.66,288.26,106.61,-1896.31,1423.18
478,2018-07-19,2834.17,751.61,147.8,26.25,1310.89,248.85,92.82,-1647.83,1157.42
479,2018-07-20,4530.61,867.98,292.6,28.13,2322.55,405.51,201.65,-3350.35,2687.47
480,2018-07-21,3167.29,543.06,209.7,38.72,1692.45,264.58,130.57,-2221.18,1674.72
481,2018-07-22,2739.03,804.04,338.6,23.66,1011.1,191.49,120.87,-1821.72,1432.57
482,2018-07-23,3368.79,801.03,199.7,37.23,1676.34,209.43,138.47,-2322.4,1845.59
483,2018-07-24,2789.63,810.89,221.7,33.55,1121.67,209.61,138.34,-2113.68,1662.5
484,2018-07-25,2806.46,652.27,394.5,39.87,1070.97,252.03,141.41,-1783.74,1382.03
485,2018-07-26,3081.12,867.72,314.6,36.76,1219.49,226.57,135.6,-2046.83,1636.44
486,2018-07-27,3220.06,823.65,162.8,35.59,1494.67,301.17,109.17,-2383.12,1836.12
487,2018-07-28,3300.85,839.21,225.7,32.21,1482.69,258.99,161.68,-2428.87,1868.96
488,2018-07-29,2889.57,714.7,239.7,23.85,1296.31,250.17,101.89,-2366.1,1942.47
489,2018-07-30,3918.33,636.83,263.6,10.48,2280.92,239.18,130.82,-2956.42,2323.78
490,2018-07-31,3344.76,978.27,0.0,46.77,1685.43,262.01,67.91,-2403.12,1886.62
491,2018-08-01,3215.51,803.57,80.9,21.16,1543.07,333.29,140.95,-2048.39,1599.01
492,2018-08-02,3250.29,788.0,212.7,48.03,1526.2,271.35,108.23,-1870.16,1437.77
493,2018-08-03,4044.53,824.33,154.5,30.42,2149.4,376.94,140.91,-2839.85,2178.41
494,2018-08-04,4037.25,1012.8,241.4,61.4,1828.27,400.22,125.78,-2495.75,1904.08
495,2018-08-05,2955.8,629.44,443.4,15.82,1278.5,212.65,107.08,-2391.23,1824.54
496,2018-08-06,3307.45,885.24,245.7,23.04,1397.41,290.32,164.81,-2263.19,1774.42
497,2018-08-07,3904.16,854.81,415.5,41.81,1896.49,218.97,121.36,-2300.44,1794.46
498,2018-08-08,2722.6,686.12,382.5,30.66,1017.78,239.36,118.39,-1802.23,1443.26
499,2018-08-09,3815.85,884.67,383.5,54.12,1692.96,331.45,124.67,-3305.51,2531.94
500,2018-08-10,4142.42,998.59,419.4,31.26,1976.18,248.71,107.37,-2601.83,1996.31
501,2018-08-11,4004.32,801.11,59.9,34.16,2232.05,364.68,140.04,-2794.23,2154.12
502,2018-08-12,2865.76,591.75,250.7,27.21,1461.45,166.15,117.73,-2476.45,1972.86
503,2018-08-13,3467.11,802.7,329.5,36.98,1566.74,268.96,146.78,-2396.34,1866.42
504,2018-08-14,2969.73,902.87,77.9,21.3,1164.36,407.59,125.49,-2462.61,1832.32
505,2018-08-15,3302.64,625.17,236.7,35.7,1711.1,250.41,143.04,-2433.51,1851.29
506,2018-08-16,3222.71,803.38,231.7,25.24,830.9,246.6,138.08,-2306.13,1739.23
507,2018-08-17,3453.67,924.78,235.7,34.22,1524.93,232.02,187.77,-2570.66,2017.79
508,2018-08-18,3783.53,844.97,316.6,50.29,1844.14,272.7,160.86,-2819.41,2192.17
509,2018-08-19,2674.66,800.85,224.7,7.01,1109.74,204.66,84.32,-2185.99,1732.12
510,2018-08-20,3110.95,674.53,133.8,37.53,1535.81,248.94,197.27,-1922.87,1540.26
511,2018-08-21,3331.02,851.7,293.6,30.71,1371.87,337.51,141.17,-2230.49,1661.47
512,2018-08-22,3321.76,781.79,0.0,26.53,1829.81,279.07,102.32,-2303.64,1766.58
513,2018-08-23,3319.22,963.35,76.9,30.37,1652.94,202.22,91.45,-1909.11,1465.18
514,2018-08-24,4354.82,906.0,458.19,36.34,2115.6,323.78,118.65,-3120.3,2387.98
515,2018-08-25,4294.45,873.81,498.4,43.01,2085.82,288.65,113.81,-2858.37,2175.64
516,2018-08-26,2856.34,776.09,129.8,28.99,1303.03,217.42,141.08,-1800.5,1378.82
517,2018-08-27,3692.86,935.71,150.8,17.2,1826.57,292.01,134.59,-2427.74,1874.33
518,2018-08-28,3228.39,820.6,230.7,41.68,1459.4,195.19,190.34,-2431.65,1882.25
519,2018-08-29,2820.3,705.56,161.8,38.23,1306.66,257.07,94.33,-1863.81,1461.17
520,2018-08-30,2780.42,715.71,288.6,45.16,1173.85,239.64,64.45,-1804.68,1332.37
521,2018-08-31,4676.48,1196.55,393.5,28.04,2059.04,415.1,158.76,-3372.53,2636.84
522,2018-09-01,3365.92,743.6,215.7,34.42,1667.13,263.77,135.52,-2113.51,1561.64
523,2018-09-02,3385.74,608.49,245.7,21.91,1727.9,348.1,126.39,-2267.62,1730.52
524,2018-09-03,3754.11,1075.39,158.8,33.01,1621.9,360.61,161.8,-2402.03,1857.54
525,2018-09-04,3755.44,767.9,149.8,30.78,1947.53,420.27,97.45,-2380.33,1856.8
526,2018-09-05,3331.42,855.51,80.9,25.49,1563.3,377.04,126.03,-2011.32,1549.49
527,2018-09-06,3159.3,842.78,434.4,45.3,1150.0,256.9,142.46,-2642.19,2044.48
528,2018-09-07,4064.85,779.24,172.8,29.38,2006.61,524.97,181.94,-2907.72,2264.16
529,2018-09-08,3638.2,1066.19,304.6,33.07,1434.09,329.25,139.91,-2098.11,1593.08
530,2018-09-09,3335.66,770.14,214.7,23.52,1670.16,213.44,140.24,-2318.69,1625.08
531,2018-09-10,2927.01,804.37,77.9,35.24,1451.42,177.37,114.35,-2022.54,1498.39
532,2018-09-11,3052.69,742.29,0.0,26.28,1617.22,261.95,127.18,-1885.3,1435.49
533,2018-09-12,2877.67,797.2,0.0,40.27,1411.19,262.21,104.88,-1550.51,1180.57
534,2018-09-13,3346.35,774.67,523.3,43.3,1358.02,235.37,89.0,-2446.26,1892.89
535,2018-09-14,4014.67,989.43,98.9,26.74,2095.02,274.51,164.77,-2565.44,1938.59
536,2018-09-15,3518.89,984.27,381.9,18.75,1308.88,377.77,133.41,-2189.78,1661.89
537,2018-09-16,2777.74,772.42,74.9,30.31,1322.89,246.59,77.86,-1907.69,1396.42
538,2018-09-17,3891.4,624.85,161.8,21.48,2238.83,357.67,132.72,-2652.48,2067.22
539,2018-09-18,3480.95,860.51,203.79,35.22,1694.26,268.02,102.46,-2270.85,1768.07
540,2018-09-19,3221.0,704.58,0.0,29.01,1764.12,335.66,94.3,-2029.15,1593.38
541,2018-09-20,3972.38,986.33,256.7,29.89,2047.25,223.03,67.76,-2627.02,2060.63
542,2018-09-21,3952.47,1030.25,298.6,51.29,1730.2,529.85,174.73,-2501.05,1909.01
543,2018-09-22,4261.89,763.87,374.5,34.31,2174.29,367.84,159.31,-3601.8,2805.47
544,2018-09-23,2493.05,783.12,80.9,91.78,784.16,356.78,167.76,-1480.4,1090.83
545,2018-09-24,2580.53,631.98,154.8,28.75,1191.39,216.59,122.17,-1766.23,1287.63
546,2018-09-25,4110.5,888.91,315.6,22.17,2030.72,347.31,131.83,-2795.54,2050.21
547,2018-09-26,2922.64,795.74,211.7,23.33,1263.45,235.22,127.21,-2053.54,1571.97
548,2018-09-27,2835.02,576.17,248.7,25.79,1397.39,197.25,131.71,-2002.91,1573.45
549,2018-09-28,4263.38,1088.74,293.6,25.25,1969.39,311.37,187.13,-3485.61,2841.79
550,2018-09-29,4183.04,828.27,379.5,40.91,2141.74,298.92,113.09,-2829.92,2186.04
551,2018-09-30,2844.23,638.26,152.8,35.36,1247.83,331.63,179.47,-1959.54,1496.37
552,2018-10-01,4042.57,859.04,0.0,40.97,2120.75,332.4,128.56,-2358.8,1853.65
553,2018-10-02,3107.23,883.44,140.8,17.99,1449.52,189.86,142.86,-2028.94,1573.96
554,2018-10-03,4014.62,994.76,300.79,19.71,1910.9,252.81,173.89,-2808.07,2135.06
555,2018-10-04,3177.63,734.6,375.5,35.89,1217.44,296.83,228.19,-2283.63,1921.68
556,2018-10-05,4286.26,1050.95,296.6,40.54,2017.73,319.94,170.6,-2966.17,2308.63
557,2018-10-06,4195.38,913.22,377.5,53.01,2032.73,326.88,201.26,-3195.27,2454.38
558,2018-10-07,2977.8,609.69,77.9,21.04,1736.22,168.13,93.83,-2152.72,1602.4
559,2018-10-08,2911.0,794.83,172.6,26.27,1177.28,335.93,138.95,-1822.61,1305.04
560,2018-10-09,3522.43,764.1,565.3,32.59,1505.27,234.67,100.99,-2597.04,1904.88
561,2018-10-10,3202.63,970.63,196.7,26.5,1239.24,335.94,140.17,-2090.82,1609.95
562,2018-10-11,3067.75,777.67,346.6,28.35,1267.06,233.05,165.0,-2021.15,1457.74
563,2018-10-12,5081.81,1114.24,393.5,16.21,2531.4,414.63,181.86,-3229.51,2764.79
