,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
,,4/16/2018 Mon,$471.79,$93.87,$0.00,$1.49,$324.64,,,$10.26,$0.00,,-$344.21,$224.43,75.69%,47.57%,65.20%,,Week 4,$578.83,$119.17,$23.62,$4.69,$319.33,,,$36.90,$22.72,$127.58,"$1,231.95",4/16/2018 Mon,$471.79,$93.87,$1.49,$324.64,$10.26,$0.00,,
,,4/17/2018 Tue,$487.49,$128.38,$0.00,$0.00,$224.95,,,$50.55,$39.25,,-$311.01,$192.58,50.76%,39.50%,61.92%,,,,,,,,,,,,$176.48,,4/17/2018 Tue,$487.49,$128.38,$0.00,$224.95,$50.55,$39.25,,
,,4/18/2018 Wed,$526.23,$132.73,$69.90,$6.47,$227.70,,,$13.41,$28.15,,-$388.76,$223.97,47.60%,42.56%,57.61%,,,,,,,,,,,,$137.47,,4/18/2018 Wed,$526.23,$202.63,$6.47,$227.70,$13.41,$28.15,,
,,4/19/2018 Thu,$643.53,$190.73,$0.00,$4.58,$336.16,,,$33.00,$20.98,,-$335.53,$140.89,57.46%,21.89%,41.99%,,,,,,,,,,,,$308.00,,4/19/2018 Thu,$643.53,$190.73,$4.58,$336.16,$33.00,$20.98,,
,,4/20/2018 Fri,$690.18,$100.87,$0.00,$14.03,$406.24,,,$70.53,$35.70,,-$453.04,$306.95,64.75%,44.47%,67.75%,,,,,,,,,,,,$237.14,,4/20/2018 Fri,$690.18,$100.87,$14.03,$406.24,$70.53,$35.70,,
,,4/21/2018 Sat,$852.71,$78.47,$95.45,$1.29,$538.96,,,$48.98,$11.99,,-$687.71,$525.75,69.53%,61.66%,76.45%,,,,,,,,,,,,$165.00,,4/21/2018 Sat,$852.71,$173.92,$1.29,$538.96,$48.98,$11.99,,
,,4/22/2018 Sun,$379.86,$109.16,$0.00,$4.98,$176.63,,,$31.54,$22.99,,-$299.58,$175.33,51.15%,46.16%,58.53%,,,,,,,,,,,,$80.28,,4/22/2018 Sun,$379.86,$109.16,$4.98,$176.63,$31.54,$22.99,,
,,4/23/2018 Mon,$598.56,$54.73,$0.00,$3.29,$410.53,,,$32.67,$44.26,,-$494.09,$307.98,75.44%,51.45%,62.33%,,Week 5,$575.96,$74.69,$22.83,$4.95,$373.97,,,$21.19,$26.68,$104.47,"$1,066.01",4/23/2018 Mon,$598.56,$54.73,$3.29,$410.53,$32.67,$44.26,,
,,4/24/2018 Tue,$750.91,$131.83,$79.90,$9.95,$432.56,,,$8.54,$20.37,,-$528.17,$434.93,63.37%,57.92%,82.35%,,,,,,,,,,,,$222.74,,4/24/2018 Tue,$750.91,$211.73,$9.95,$432.56,$8.54,$20.37,,
,,4/25/2018 Wed,$442.16,$74.65,$79.90,$3.49,$183.14,,,$22.91,$37.85,,-$351.49,$268.72,45.56%,60.77%,76.45%,,,,,,,,,,,,$90.67,,4/25/2018 Wed,$442.16,$154.55,$3.49,$183.14,$22.91,$37.85,,
,,4/26/2018 Thu,$503.49,$27.46,$0.00,$9.96,$384.85,,,$8.97,$26.44,,-$270.31,$128.99,84.08%,25.62%,47.72%,,,,,,,,,,,,$233.18,,4/26/2018 Thu,$503.49,$27.46,$9.96,$384.85,$8.97,$26.44,,
,,4/27/2018 Fri,$441.13,$96.84,$0.00,$6.47,$258.10,,,$10.54,$32.25,,-$441.13,$319.07,64.36%,72.33%,72.33%,,,,,,,,,,,,$0.00,,4/27/2018 Fri,$441.13,$96.84,$6.47,$258.10,$10.54,$32.25,,
,,4/28/2018 Sat,$592.92,$88.90,$0.00,$1.49,$402.99,,,$23.02,$22.57,,-$412.92,$308.16,74.76%,51.97%,74.63%,,,,,,,,,,,,$180.00,,4/28/2018 Sat,$592.92,$88.90,$1.49,$402.99,$23.02,$22.57,,
,,4/29/2018 Sun,$702.55,$48.39,$0.00,$0.00,$545.60,,,$41.66,$3.00,,-$467.60,$341.37,85.43%,48.59%,73.00%,,,,,,,,,,,,$234.95,,4/29/2018 Sun,$702.55,$48.39,$0.00,$545.60,$41.66,$3.00,,
,,4/30/2018 Mon,$458.60,$123.13,$0.00,$7.47,$289.91,,,$11.96,$0.00,,-$341.93,$201.11,69.54%,43.85%,58.82%,,Week 6,$742.29,$141.98,$31.73,$3.74,$445.28,,,$29.92,$24.33,$116.67,"$1,269.66",4/30/2018 Mon,$458.60,$123.13,$7.47,$289.91,$11.96,$0.00,,
2018년 5월,매출 보고,5/1/2018 Tue,$794.01,$179.16,$79.90,$7.77,$303.97,,,$122.58,$28.36,,-$545.46,$376.91,42.11%,47.47%,69.10%,,,,,,,,,,,,$248.55,,5/1/2018 Tue,$794.01,$259.06,$7.77,$303.97,$122.58,$28.36,,
,,5/2/2018 Wed,$680.40,$111.74,$0.00,$2.00,$446.13,,,$24.98,$33.67,,-$531.90,$394.24,72.13%,57.94%,74.12%,,,,,,,,,,,,$148.50,,5/2/2018 Wed,$680.40,$111.74,$2.00,$446.13,$24.98,$33.67,,
실제 수익,"$26,198.73",5/3/2018 Thu,$704.58,$112.18,$0.00,$1.49,$508.17,,,$2.97,$15.67,,-$704.58,$483.99,79.34%,68.69%,68.69%,,,,,,,,,,,,$0.00,,5/3/2018 Thu,$704.58,$112.18,$1.49,$508.17,$2.97,$15.67,,
보고 수익,"$20,805.00",5/4/2018 Fri,$985.29,$123.15,$0.00,$1.00,$736.55,,,$9.27,$25.67,,-$594.55,$420.94,82.23%,42.72%,70.80%,,,,,,,,,,,,$390.74,,5/4/2018 Fri,$985.29,$123.15,$1.00,$736.55,$9.27,$25.67,,
카드 수익,"$14,082.26",5/5/2018 Sat,$925.71,$181.65,$79.90,$4.98,$537.35,,,$5.45,$32.17,,-$779.56,$592.77,63.85%,64.03%,76.04%,,,,,,,,,,,,$146.15,,5/5/2018 Sat,$925.71,$261.55,$4.98,$537.35,$5.45,$32.17,,
,"$6,722.74",5/6/2018 Sun,$647.42,$162.88,$62.30,$1.49,$294.89,,,$32.21,$34.75,,-$428.37,$283.68,50.10%,43.82%,66.22%,,,,,,,,,,,,$219.05,,5/6/2018 Sun,$647.42,$225.18,$1.49,$294.89,$32.21,$34.75,,
담배 수익,"$6,029.33",5/7/2018 Mon,$720.79,$177.52,$0.00,$9.05,$412.78,,,$46.17,$15.98,,-$445.79,$324.46,62.99%,45.01%,72.78%,,Week 7,$886.37,$150.67,$56.21,$5.44,$534.13,,,$41.54,$20.71,$275.00,"$1,483.19",5/7/2018 Mon,$720.79,$177.52,$9.05,$412.78,$46.17,$15.98,,
그로서리 수익,$165.77,5/8/2018 Tue,$820.26,$189.47,$0.00,$2.49,$505.29,,,$43.32,$10.78,,-$705.44,$511.18,67.76%,62.32%,72.46%,,,,,,,,,,,,$114.82,,5/8/2018 Tue,$820.26,$189.47,$2.49,$505.29,$43.32,$10.78,,
잡화 수익,"$15,726.06",5/9/2018 Wed,$679.54,$162.59,$0.00,$9.54,$410.31,,,$15.28,$19.98,,-$514.54,$362.99,66.42%,53.42%,70.55%,,,,,,,,,,,,$165.00,,5/9/2018 Wed,$679.54,$162.59,$9.54,$410.31,$15.28,$19.98,,
토바코 수익,"$1,175.71",5/10/2018 Thu,$854.52,$94.09,$79.90,$2.49,$510.43,,,$38.81,$52.33,,-$421.15,$242.37,65.71%,28.36%,57.55%,,,,,,,,,,,,$433.37,,5/10/2018 Thu,$854.52,$173.99,$2.49,$510.43,$38.81,$52.33,,
맥주 수익,$773.17,5/11/2018 Fri,"$1,067.47",$175.08,$157.80,$10.26,$572.97,,,$30.07,$30.45,,-$902.47,$618.69,59.04%,57.96%,68.56%,,,,,,,,,,,,$165.00,,5/11/2018 Fri,"$1,067.47",$332.88,$10.26,$572.97,$30.07,$30.45,,
,,5/12/2018 Sat,"$1,310.22",$129.62,$75.90,$3.28,$895.84,,,$72.29,$15.47,,-$980.22,$826.85,75.21%,63.11%,84.35%,,,,,,,,,,,,$330.00,,5/12/2018 Sat,"$1,310.22",$205.52,$3.28,$895.84,$72.29,$15.47,,
,,5/13/2018 Sun,$751.79,$126.32,$79.90,$1.00,$431.31,,,$44.87,$0.00,,-$751.79,$631.27,63.11%,83.97%,83.97%,,,,,,,,,,,,$0.00,,5/13/2018 Sun,$751.79,$206.22,$1.00,$431.31,$44.87,$0.00,,
,,5/14/2018 Mon,$620.04,$62.72,$71.90,$4.98,$361.34,,,$29.19,$43.05,,-$455.04,$289.99,64.10%,46.77%,63.73%,,Week 8,$871.70,$139.96,$43.59,$6.56,$540.54,,,$39.15,$24.46,$165.00,"$1,157.27",5/14/2018 Mon,$620.04,$134.62,$4.98,$361.34,$29.19,$43.05,,
,,5/15/2018 Tue,$932.08,$139.73,$0.00,$3.98,$625.08,,,$46.82,$31.67,,-$712.09,$532.46,73.77%,57.13%,74.77%,,,,,,,,,,,,$219.99,,5/15/2018 Tue,$932.08,$139.73,$3.98,$625.08,$46.82,$31.67,,
,,5/16/2018 Wed,$576.15,$90.30,$0.00,$11.27,$374.47,,,$23.07,$25.97,,-$393.00,$185.19,71.49%,32.14%,47.12%,,,,,,,,,,,,$183.15,,5/16/2018 Wed,$576.15,$90.30,$11.27,$374.47,$23.07,$25.97,,
,,5/17/2018 Thu,"$1,184.99",$197.66,$77.90,$4.98,$745.24,,,$17.54,$34.35,,"-$1,064.02",$842.18,69.18%,71.07%,79.15%,,,,,,,,,,,,$120.97,,5/17/2018 Thu,"$1,184.99",$275.56,$4.98,$745.24,$17.54,$34.35,,
,,5/18/2018 Fri,"$1,045.35",$183.16,$0.00,$9.45,$686.28,,,$59.83,$13.17,,"-$1,045.35",$743.94,72.22%,71.17%,71.17%,,,,,,,,,,,,$0.00,,5/18/2018 Fri,"$1,045.35",$183.16,$9.45,$686.28,$59.83,$13.17,,
,,5/19/2018 Sat,$975.33,$108.80,$95.45,$7.26,$638.13,,,$36.97,$0.00,,-$679.83,$483.79,71.97%,49.60%,71.16%,,,,,,,,,,,,$295.50,,5/19/2018 Sat,$975.33,$204.25,$7.26,$638.13,$36.97,$0.00,,
,,5/20/2018 Sun,$767.99,$197.38,$59.90,$3.99,$353.26,,,$60.61,$22.99,,-$595.33,$433.34,50.60%,56.43%,72.79%,,,,,,,,,,,,$172.66,,5/20/2018 Sun,$767.99,$257.28,$3.99,$353.26,$60.61,$22.99,,
,,5/21/2018 Mon,"$1,080.77",$130.25,$153.98,$1.49,$649.11,,,$22.64,$24.98,,-$819.21,$465.81,66.07%,43.10%,56.86%,,Week 9,$913.02,$156.21,$22.00,$4.88,$573.24,,,$36.44,$31.34,$261.56,$973.50,5/21/2018 Mon,"$1,080.77",$284.23,$1.49,$649.11,$22.64,$24.98,,
,,5/22/2018 Tue,$777.10,$188.94,$0.00,$6.97,$405.47,,,$55.09,$50.92,,-$712.95,$252.38,57.40%,32.48%,35.40%,,,,,,,,,,,,$64.15,,5/22/2018 Tue,$777.10,$188.94,$6.97,$405.47,$55.09,$50.92,,
,,5/23/2018 Wed,"$1,218.04",$184.38,$0.00,$0.00,$827.18,,,$42.39,$27.87,,-$879.25,$487.15,74.70%,39.99%,55.41%,,,,,,,,,,,,$338.79,,5/23/2018 Wed,"$1,218.04",$184.38,$0.00,$827.18,$42.39,$27.87,,
,,5/24/2018 Thu,$682.40,$116.89,$0.00,$5.47,$417.47,,,$28.49,$52.44,,-$595.53,$440.15,67.29%,64.50%,73.91%,,,,,,,,,,,,$86.87,,5/24/2018 Thu,$682.40,$116.89,$5.47,$417.47,$28.49,$52.44,,
,,5/25/2018 Fri,"$1,268.62",$189.71,$0.00,$15.22,$871.98,,,$33.87,$25.45,,"-$1,244.48",$943.49,75.61%,74.37%,75.81%,,,,,,,,,,,,$24.14,,5/25/2018 Fri,"$1,268.62",$189.71,$15.22,$871.98,$33.87,$25.45,,
,,5/26/2018 Sat,$609.46,$140.02,$0.00,$1.99,$354.29,,,$54.92,$2.78,,-$596.27,$250.65,63.94%,41.13%,42.04%,,,,,,,,,,,,$13.19,,5/26/2018 Sat,$609.46,$140.02,$1.99,$354.29,$54.92,$2.78,,
,,5/27/2018 Sun,$754.75,$143.31,$0.00,$2.99,$487.19,,,$17.65,$34.95,,-$569.95,$456.44,71.00%,60.48%,80.08%,,,,,,,,,,,,$184.80,,5/27/2018 Sun,$754.75,$143.31,$2.99,$487.19,$17.65,$34.95,,
,,5/28/2018 Mon,$704.78,$140.32,$221.97,$4.47,$232.97,,,$33.50,$17.17,,-$594.78,$433.05,36.36%,61.44%,72.81%,,Week 10,$780.39,$196.09,$54.54,$5.31,$398.18,,,$50.99,$18.34,$110.00,"$1,265.87",5/28/2018 Mon,$704.78,$362.29,$4.47,$232.97,$33.50,$17.17,,
,,5/29/2018 Tue,$644.84,$222.33,$0.00,$1.49,$303.09,,,$46.94,$11.98,,-$469.05,$186.85,51.70%,28.98%,39.84%,,,,,,,,,,,,$175.79,,5/29/2018 Tue,$644.84,$222.33,$1.49,$303.09,$46.94,$11.98,,
,,5/30/2018 Wed,$786.27,$235.24,$0.00,$17.46,$446.52,,,$29.64,$11.48,,-$456.27,$272.78,62.47%,34.69%,59.78%,,,,,,,,,,,,$330.00,,5/30/2018 Wed,$786.27,$235.24,$17.46,$446.52,$29.64,$11.48,,
,,5/31/2018 Thu,$627.77,$136.04,$0.00,$5.47,$381.00,,,$48.28,$26.67,,-$616.78,$312.28,66.76%,49.74%,50.63%,,,,,,,,,,,,$10.99,,5/31/2018 Thu,$627.77,$136.04,$5.47,$381.00,$48.28,$26.67,,
2018년 6월,매출 보고,6/1/2018 Fri,$969.73,$271.84,$0.00,$4.78,$508.34,,,$65.07,$31.45,,-$837.73,$584.66,57.66%,60.29%,69.79%,,,,,,,,,,,,$132.00,,6/1/2018 Fri,$969.73,$271.84,$4.78,$508.34,$65.07,$31.45,,
,,6/2/2018 Sat,$846.58,$175.79,$79.90,$0.00,$460.54,,,$51.64,$1.69,,-$559.49,$395.03,59.84%,46.66%,70.61%,,,,,,,,,,,,$287.09,,6/2/2018 Sat,$846.58,$255.69,$0.00,$460.54,$51.64,$1.69,,
실제 수익,"$29,326.79",6/3/2018 Sun,$882.74,$191.10,$79.90,$3.49,$454.80,,,$81.83,$27.94,,-$662.74,$422.45,56.67%,47.86%,63.74%,,,,,,,,,,,,$220.00,,6/3/2018 Sun,$882.74,$271.00,$3.49,$454.80,$81.83,$27.94,,
보고 수익,"$22,404.34",6/4/2018 Mon,"$1,353.27",$183.87,$0.00,$11.24,$916.16,,,$50.16,$68.75,,-$901.18,$674.25,74.47%,49.82%,74.82%,,Week 11,"$1,084.45",$189.51,$71.28,$6.24,$659.42,,,$33.29,$28.47,$452.09,"$1,734.92",6/4/2018 Mon,"$1,353.27",$183.87,$11.24,$916.16,$50.16,$68.75,,
카드 수익,"$15,667.20",6/5/2018 Tue,$812.06,$142.66,$159.80,$11.94,$345.00,,,$45.66,$33.12,,-$702.07,$488.30,46.73%,60.13%,69.55%,,,,,,,,,,,,$109.99,,6/5/2018 Tue,$812.06,$302.46,$11.94,$345.00,$45.66,$33.12,,
,"$15,138.67",6/6/2018 Wed,$821.41,$145.73,$79.90,$6.27,$512.39,,,$15.01,$3.78,,-$641.04,$518.01,68.62%,63.06%,80.81%,,,,,,,,,,,,$180.37,,6/6/2018 Wed,$821.41,$225.63,$6.27,$512.39,$15.01,$3.78,,
담배 수익,"$7,265.67",6/7/2018 Thu,"$1,191.64",$218.43,$163.80,$2.99,$658.80,,,$24.71,$14.98,,"-$1,026.65",$632.84,60.81%,53.11%,61.64%,,,,,,,,,,,,$164.99,,6/7/2018 Thu,"$1,191.64",$382.23,$2.99,$658.80,$24.71,$14.98,,
그로서리 수익,$206.78,6/8/2018 Fri,"$1,515.09",$365.75,$0.00,$4.97,$912.28,,,$60.04,$34.25,,"-$1,185.09",$813.32,66.23%,53.68%,68.63%,,,,,,,,,,,,$330.00,,6/8/2018 Fri,"$1,515.09",$365.75,$4.97,$912.28,$60.04,$34.25,,
잡화 수익,"$16,839.78",6/9/2018 Sat,"$1,143.62",$169.88,$95.45,$5.28,$728.23,,,$25.02,$15.72,,-$646.14,$500.15,70.05%,43.73%,77.41%,,,,,,,,,,,,$497.48,,6/9/2018 Sat,"$1,143.62",$265.33,$5.28,$728.23,$25.02,$15.72,,
토바코 수익,"$1,439.26",6/10/2018 Sun,$754.05,$100.26,$0.00,$1.00,$543.08,,,$12.43,$28.67,,-$754.05,$526.50,79.22%,69.82%,69.82%,,,,,,,,,,,,$0.00,,6/10/2018 Sun,$754.05,$100.26,$1.00,$543.08,$12.43,$28.67,,
맥주 수익,$904.12,6/11/2018 Mon,"$1,240.68",$255.35,$0.00,$2.78,$734.54,,,$111.17,$23.97,,-$800.68,$733.09,65.13%,59.09%,91.56%,,Week 12,$986.37,$205.26,$24.14,$6.30,$569.81,,,$52.32,$26.34,$440.00,"$1,435.47",6/11/2018 Mon,"$1,240.68",$255.35,$2.78,$734.54,$111.17,$23.97,,
,,6/12/2018 Tue,"$1,094.00",$308.81,$0.00,$4.99,$638.21,,,$23.20,$21.73,,-$874.00,$639.31,64.17%,58.44%,73.15%,,,,,,,,,,,,$220.00,,6/12/2018 Tue,"$1,094.00",$308.81,$4.99,$638.21,$23.20,$21.73,,
