,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
,"$8,223.27",1/6/2019 Sun,"$1,259.98",$113.84,(전기아웃),$6.47,$933.95,,,$36.98,$51.13,,-$604.19,$476.22,81.54%,37.80%,78.82%,,,,,,,,,,,,$655.79,,1/6/2019 Sun,"$1,259.98",$113.84,$6.47,$933.95,$36.98,$51.13,,
담배 수익,"$10,875.85",1/7/2019 Mon,"$1,887.56",$432.24,$146.40,$8.06,"$1,020.38",,,$71.90,$36.86,,"-$1,133.71",$874.62,59.46%,46.34%,77.15%,,Week 42,"$1,598.62",$296.33,$64.76,$9.41,$982.12,,,$61.81,$38.76,$753.85,"$4,118.82",1/7/2019 Mon,"$1,887.56",$578.64,$8.06,"$1,020.38",$71.90,$36.86,,
그로서리 수익,$355.51,1/8/2019 Tue,"$1,329.58",$275.85,$73.20,$6.08,$787.16,,,$15.62,$50.71,,-$889.54,$655.38,65.12%,49.29%,73.68%,,,,,,,,,,,,$440.04,,1/8/2019 Tue,"$1,329.58",$349.05,$6.08,$787.16,$15.62,$50.71,,
잡화 수익,"$30,881.39",1/9/2019 Wed,"$1,334.57",$146.35,$73.90,$9.44,$917.26,,,$54.06,$12.17,,-$722.83,$592.08,75.60%,44.36%,81.91%,,,,,,,,,,,,$611.74,,1/9/2019 Wed,"$1,334.57",$220.25,$9.44,$917.26,$54.06,$12.17,,
토바코 수익,"$1,841.57",1/10/2019 Thu,"$1,700.92",$374.93,$0.00,$10.45,$990.42,,,$110.95,$59.42,,"-$1,035.02",$845.26,64.05%,49.69%,81.67%,,,,,,,,,,,,$665.90,,1/10/2019 Thu,"$1,700.92",$374.93,$10.45,$990.42,$110.95,$59.42,,
맥주 수익,"$1,253.73",1/11/2019 Fri,"$1,628.02",$352.23,$0.00,$8.37,$985.78,,,$68.40,$65.11,,-$695.84,$586.98,66.61%,36.05%,84.36%,,,,,,,,,,,,$932.18,,1/11/2019 Fri,"$1,628.02",$352.23,$8.37,$985.78,$68.40,$65.11,,
,,1/12/2019 Sat,"$1,575.49",$266.63,$83.90,$15.88,$985.29,,,$41.10,$39.35,,"-$1,355.44","$1,086.85",68.79%,68.98%,80.18%,,,,,,,,,,,,$220.05,,1/12/2019 Sat,"$1,575.49",$350.53,$15.88,$985.29,$41.10,$39.35,,
,,1/13/2019 Sun,"$1,734.21",$226.05,$75.90,$7.59,"$1,188.55",,,$70.65,$7.69,,"-$1,239.15",$996.56,75.39%,57.46%,80.42%,,,,,,,,,,,,$495.06,,1/13/2019 Sun,"$1,734.21",$301.95,$7.59,"$1,188.55",$70.65,$7.69,,
,,1/14/2019 Mon,"$1,425.43",$275.27,$0.00,$14.73,$900.46,,,$44.34,$60.93,,-$914.35,$769.66,69.49%,53.99%,84.18%,,Week 43,"$1,609.87",$276.17,$124.64,$11.39,$935.80,,,$58.03,$42.24,$511.08,"$2,818.51",1/14/2019 Mon,"$1,425.43",$275.27,$14.73,$900.46,$44.34,$60.93,,
,,1/15/2019 Tue,"$1,392.93",$390.00,$0.00,$10.91,$699.51,,,$98.05,$67.73,,"-$1,083.96",$723.27,55.24%,51.92%,66.72%,,,,,,,,,,,,$308.97,,1/15/2019 Tue,"$1,392.93",$390.00,$10.91,$699.51,$98.05,$67.73,,
,,1/16/2019 Wed,"$1,704.09",$322.18,$173.10,$10.29,$971.26,,,$37.29,$34.95,,"-$1,189.58",$880.31,62.70%,51.66%,74.00%,,,,,,,,,,,,$514.51,,1/16/2019 Wed,"$1,704.09",$495.28,$10.29,$971.26,$37.29,$34.95,,
,,1/17/2019 Thu,"$1,441.17",$121.22,$0.00,$20.01,$989.20,,,$38.52,$35.11,,-$973.83,$798.17,75.50%,55.38%,81.96%,,,,,,,,,,,,$467.34,,1/17/2019 Thu,"$1,441.17",$121.22,$20.01,$989.20,$38.52,$35.11,,
,,1/18/2019 Fri,"$1,583.27",$284.80,$153.80,$9.21,$911.01,,,$61.34,$19.06,,"-$1,116.73",$795.82,63.29%,50.26%,71.26%,,,,,,,,,,,,$466.54,,1/18/2019 Fri,"$1,583.27",$438.60,$9.21,$911.01,$61.34,$19.06,,
,,1/19/2019 Sat,"$1,854.25",$324.52,$233.00,$10.03,"$1,024.40",,,$49.00,$44.61,,"-$1,744.20","$1,323.29",60.77%,71.37%,75.87%,,,,,,,,,,,,$110.05,,1/19/2019 Sat,"$1,854.25",$557.52,$10.03,"$1,024.40",$49.00,$44.61,,
,,1/20/2019 Sun,"$1,867.98",$215.23,$312.60,$4.53,"$1,054.77",,,$77.68,$33.27,,"-$1,427.96","$1,092.57",62.11%,58.49%,76.51%,,,,,,,,,,,,$440.02,,1/20/2019 Sun,"$1,867.98",$527.83,$4.53,"$1,054.77",$77.68,$33.27,,
,,1/21/2019 Mon,"$1,735.27",$371.63,$0.00,$21.51,"$1,111.10",,,$39.43,$33.75,,"-$1,102.13",$919.85,70.43%,53.01%,83.46%,,Week 44,"$1,669.40",$281.78,$108.67,$11.57,"$1,019.44",,,$54.09,$42.16,$633.14,"$3,581.72",1/21/2019 Mon,"$1,735.27",$371.63,$21.51,"$1,111.10",$39.43,$33.75,,
,,1/22/2019 Tue,"$1,448.92",$298.01,$171.80,$1.99,$765.68,,,$36.20,$43.43,,-$970.58,$667.17,58.13%,46.05%,68.74%,,,,,,,,,,,,$478.34,,1/22/2019 Tue,"$1,448.92",$469.81,$1.99,$765.68,$36.20,$43.43,,
,,1/23/2019 Wed,"$1,312.75",$196.99,$0.00,$13.29,$891.50,,,$48.99,$42.53,,-$852.16,$528.94,74.70%,40.29%,62.07%,,,,,,,,,,,,$460.59,,1/23/2019 Wed,"$1,312.75",$196.99,$13.29,$891.50,$48.99,$42.53,,
,,1/24/2019 Thu,"$1,610.22",$179.90,$251.00,$21.37,$824.26,,,$89.90,$98.56,,"-$1,234.21","$1,043.76",56.31%,64.82%,84.57%,,,,,,,,,,,,$376.01,,1/24/2019 Thu,"$1,610.22",$430.90,$21.37,$824.26,$89.90,$98.56,,
,,1/25/2019 Fri,"$2,049.82",$355.81,$83.90,$6.02,"$1,304.29",,,$71.62,$41.70,,"-$1,365.68","$1,037.19",69.99%,50.60%,75.95%,,,,,,,,,,,,$684.14,,1/25/2019 Fri,"$2,049.82",$439.71,$6.02,"$1,304.29",$71.62,$41.70,,
,,1/26/2019 Sat,"$1,701.81",$335.42,$173.10,$6.49,$965.49,,,$38.50,$27.98,,"-$1,350.49","$1,019.78",62.41%,59.92%,75.51%,,,,,,,,,,,,$351.32,,1/26/2019 Sat,"$1,701.81",$508.52,$6.49,$965.49,$38.50,$27.98,,
,,1/27/2019 Sun,"$1,827.00",$234.68,$80.90,$10.35,"$1,273.73",,,$53.98,$7.17,,"-$1,228.82",$922.50,76.69%,50.49%,75.07%,,,,,,,,,,,,$598.18,,1/27/2019 Sun,"$1,827.00",$315.58,$10.35,"$1,273.73",$53.98,$7.17,,
,,1/28/2019 Mon,"$1,571.17",$205.53,$0.00,$8.17,"$1,132.87",,,$47.28,$35.46,,"-$1,351.13","$1,117.06",79.31%,71.10%,82.68%,,Week 45,"$2,039.41",$315.12,$50.00,$17.04,"$1,349.37",,,$70.97,$52.20,$220.04,"$4,116.03",1/28/2019 Mon,"$1,571.17",$205.53,$8.17,"$1,132.87",$47.28,$35.46,,
,,1/29/2019 Tue,"$2,025.99",$373.22,$95.90,$25.27,"$1,197.93",,,$96.45,$52.93,,"-$1,356.25","$1,054.80",65.04%,52.06%,77.77%,,,,,,,,,,,,$669.74,,1/29/2019 Tue,"$2,025.99",$469.12,$25.27,"$1,197.93",$96.45,$52.93,,
,,1/30/2019 Wed,"$1,629.82",$239.04,$0.00,$19.60,"$1,130.27",,,$53.07,$39.04,,"-$1,299.19","$1,007.11",76.28%,61.79%,77.52%,,,,,,,,,,,,$330.63,,1/30/2019 Wed,"$1,629.82",$239.04,$19.60,"$1,130.27",$53.07,$39.04,,
,,1/31/2019 Thu,"$1,898.05",$229.88,$73.20,$15.01,"$1,272.77",,,$71.22,$63.31,,"-$1,238.01","$1,024.98",73.76%,54.00%,82.79%,,,,,,,,,,,,$660.04,,1/31/2019 Thu,"$1,898.05",$303.08,$15.01,"$1,272.77",$71.22,$63.31,,
2019년 2월,매출 보고,2/1/2019 Fri,"$2,924.11",$463.30,$0.00,$16.30,"$2,084.54",,,$47.01,$52.05,,"-$1,944.79","$1,151.73",78.42%,39.39%,59.22%,,,,,,,,,,,,$979.32,,2/1/2019 Fri,"$2,924.11",$463.30,$16.30,"$2,084.54",$47.01,$52.05,,
,,2/2/2019 Sat,"$2,426.22",$270.10,$80.90,$30.49,"$1,663.69",,,$69.32,$91.03,,"-$1,716.18","$1,380.70",75.43%,56.91%,80.45%,,,,,,,,,,,,$710.04,,2/2/2019 Sat,"$2,426.22",$351.00,$30.49,"$1,663.69",$69.32,$91.03,,
실제 수익,"$54,262.33",2/3/2019 Sun,"$1,800.53",$424.78,$100.00,$4.47,$963.51,,,$112.41,$31.55,,"-$1,254.31",$951.59,58.86%,52.85%,75.87%,슈퍼볼,,,,,,,,,,,$546.22,,2/3/2019 Sun,"$1,800.53",$524.78,$4.47,$963.51,$112.41,$31.55,,
보고 수익,"$3,036,224.58",2/4/2019 Mon,"$1,058.73",$346.80,$0.00,$6.42,$530.76,,,$58.56,$19.86,,-$740.49,$589.20,55.14%,55.65%,79.57%,폭설,Week 46,"$2,027.66",$408.60,$88.70,$11.55,"$1,213.81",,,$75.21,$45.65,$318.24,"$3,169.86",2/4/2019 Mon,"$1,058.73",$346.80,$6.42,$530.76,$58.56,$19.86,,
카드 수익,"$30,887.67",2/5/2019 Tue,"$1,533.89",$269.41,$0.00,$18.17,$989.63,,,$63.59,$53.63,,"-$1,100.10",$803.34,70.97%,52.37%,73.02%,,,,,,,,,,,,$433.79,,2/5/2019 Tue,"$1,533.89",$269.41,$18.17,$989.63,$63.59,$53.63,,
,"$3,024,148.09",2/6/2019 Wed,"$2,115.87",$386.34,$222.30,$16.82,"$1,158.94",,,$99.51,$39.45,,"-$1,749.40","$1,343.84",60.25%,63.51%,76.82%,,,,,,,,,,,,$366.47,,2/6/2019 Wed,"$2,115.87",$608.64,$16.82,"$1,158.94",$99.51,$39.45,,
담배 수익,"$12,076.49",2/7/2019 Thu,"$2,562.05",$516.16,$232.00,$9.37,"$1,447.04",,,$87.19,$39.07,,"-$1,918.04","$1,612.98",62.13%,62.96%,84.10%,,,,,,,,,,,,$644.01,,2/7/2019 Thu,"$2,562.05",$748.16,$9.37,"$1,447.04",$87.19,$39.07,,
그로서리 수익,$301.32,2/8/2019 Fri,"$2,771.97",$548.42,$77.90,$16.05,"$1,699.81",,,$99.50,$78.13,,"-$1,804.66","$1,359.24",67.45%,49.04%,75.32%,,,,,,,,,,,,$967.31,,2/8/2019 Fri,"$2,771.97",$626.32,$16.05,"$1,699.81",$99.50,$78.13,,
잡화 수익,"$33,918.15",2/9/2019 Sat,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,폭설,,,,,,,,,,,$0.00,,2/9/2019 Sat,,$0.00,,$0.00,,,,
토바코 수익,"$1,744.10",2/10/2019 Sun,"$2,123.45",$384.46,$0.00,$2.48,"$1,456.69",,,$42.92,$43.73,,"-$1,683.41","$1,408.24",75.46%,66.32%,83.65%,,,,,,,,,,,,$440.04,,2/10/2019 Sun,"$2,123.45",$384.46,$2.48,"$1,456.69",$42.92,$43.73,,
맥주 수익,"$1,330.09",2/11/2019 Mon,"$1,132.12",$320.90,$100.00,$4.34,$581.55,,,$18.96,$3.38,,"-$1,132.12",$892.19,56.51%,78.81%,78.81%,,Week 47,"$2,083.22",$316.76,$142.94,$10.75,"$1,307.85",,,$71.30,$42.80,$0.00,"$3,109.13",2/11/2019 Mon,"$1,132.12",$420.90,$4.34,$581.55,$18.96,$3.38,,
,,2/12/2019 Tue,"$1,984.50",$211.35,$99.90,$20.53,"$1,383.21",,,$46.17,$42.80,,"-$1,516.60","$1,071.30",76.67%,53.98%,70.64%,,,,,,,,,,,,$467.90,,2/12/2019 Tue,"$1,984.50",$311.25,$20.53,"$1,383.21",$46.17,$42.80,,
,,2/13/2019 Wed,"$2,186.24",$417.17,$74.90,$9.03,"$1,352.52",,,$100.98,$32.74,,"-$1,452.36","$1,094.02",68.05%,50.04%,75.33%,,,,,,,,,,,,$733.88,,2/13/2019 Wed,"$2,186.24",$492.07,$9.03,"$1,352.52",$100.98,$32.74,,
,,2/14/2019 Thu,"$1,877.25",$249.82,$73.20,$12.39,"$1,264.40",,,$51.70,$45.75,,"-$1,359.55","$1,050.44",74.09%,55.96%,77.26%,,,,,,,,,,,,$517.70,,2/14/2019 Thu,"$1,877.25",$323.02,$12.39,"$1,264.40",$51.70,$45.75,,
,,2/15/2019 Fri,"$2,604.83",$362.77,$336.69,$15.26,"$1,448.81",,,$128.75,$75.61,,"-$2,123.92","$1,593.86",61.18%,61.19%,75.04%,,,,,,,,,,,,$480.91,,2/15/2019 Fri,"$2,604.83",$699.46,$15.26,"$1,448.81",$128.75,$75.61,,
,,2/16/2019 Sat,"$2,737.02",$431.70,$315.90,$9.89,"$1,521.79",,,$127.31,$81.49,,"-$2,516.99","$1,936.24",61.16%,70.74%,76.93%,,,,,,,,,,,,$220.03,,2/16/2019 Sat,"$2,737.02",$747.60,$9.89,"$1,521.79",$127.31,$81.49,,
,,2/17/2019 Sun,"$2,060.60",$223.64,$0.00,$3.83,"$1,602.65",,,$25.21,$17.84,,"-$1,371.89","$1,042.46",85.55%,50.59%,75.99%,,,,,,,,,,,,$688.71,,2/17/2019 Sun,"$2,060.60",$223.64,$3.83,"$1,602.65",$25.21,$17.84,,
,,2/18/2019 Mon,"$1,537.99",$378.93,$155.80,$8.84,$807.26,,,$29.55,$58.42,,"-$1,284.47",$927.37,57.74%,60.30%,72.20%,,Week 48,"$1,765.65",$277.45,$118.19,$7.07,"$1,107.26",,,$50.23,$50.55,$253.52,"$2,990.48",2/18/2019 Mon,"$1,537.99",$534.73,$8.84,$807.26,$29.55,$58.42,,
,,2/19/2019 Tue,"$1,551.38",$260.60,$80.90,$11.38,$918.23,,,$70.27,$68.83,,"-$1,017.61",$754.84,65.11%,48.66%,74.18%,,,,,,,,,,,,$533.77,,2/19/2019 Tue,"$1,551.38",$341.50,$11.38,$918.23,$70.27,$68.83,,
,,2/20/2019 Wed,"$1,604.26",$223.31,$99.90,$14.23,"$1,006.83",,,$46.69,$67.32,,"-$1,040.75",$771.67,69.04%,48.10%,74.15%,,,,,,,,,,,,$563.51,,2/20/2019 Wed,"$1,604.26",$323.21,$14.23,"$1,006.83",$46.69,$67.32,,
,,2/21/2019 Thu,"$1,679.82",$194.85,$73.20,$7.38,"$1,168.56",,,$41.01,$41.99,,"-$1,348.93","$1,027.37",76.52%,61.16%,76.16%,,,,,,,,,,,,$330.89,,2/21/2019 Thu,"$1,679.82",$268.05,$7.38,"$1,168.56",$41.01,$41.99,,
,,2/22/2019 Fri,"$2,107.74",$367.56,$80.90,$3.07,"$1,334.27",,,$76.21,$53.99,,"-$1,628.39","$1,250.35",69.63%,59.32%,76.78%,,,,,,,,,,,,$479.35,,2/22/2019 Fri,"$2,107.74",$448.46,$3.07,"$1,334.27",$76.21,$53.99,,
,,2/23/2019 Sat,"$2,613.83",$271.16,$336.60,$4.37,"$1,653.98",,,$70.92,$38.43,,"-$2,044.01","$1,667.75",69.61%,63.80%,81.59%,,,,,,,,,,,,$569.82,,2/23/2019 Sat,"$2,613.83",$607.76,$4.37,"$1,653.98",$70.92,$38.43,,
,,2/24/2019 Sun,"$1,264.50",$245.71,$0.00,$0.25,$861.67,,,$16.97,$24.85,,"-$1,004.88",$820.60,74.96%,64.90%,81.66%,,,,,,,,,,,,$259.62,,2/24/2019 Sun,"$1,264.50",$245.71,$0.25,$861.67,$16.97,$24.85,,
,,2/25/2019 Mon,"$1,933.16",$487.06,$146.40,$7.95,"$1,021.59",,,$45.40,$55.14,,"-$1,492.00","$1,065.30",58.13%,55.11%,71.40%,,Week 49,"$1,971.15",$374.12,$79.41,$12.88,"$1,216.17",,,$56.34,$52.83,$441.16,"$2,829.25",2/25/2019 Mon,"$1,933.16",$633.46,$7.95,"$1,021.59",$45.40,$55.14,,
,,2/26/2019 Tue,"$1,683.84",$308.06,$0.00,$17.79,"$1,103.59",,,$65.31,$35.91,,"-$1,404.62","$1,019.71",72.09%,60.56%,72.60%,,,,,,,,,,,,$279.22,,2/26/2019 Tue,"$1,683.84",$308.06,$17.79,"$1,103.59",$65.31,$35.91,,
,,2/27/2019 Wed,"$2,459.83",$355.10,$77.90,$18.42,"$1,657.23",,,$50.65,$76.74,,"-$1,651.08","$1,112.00",74.11%,45.21%,67.35%,,,,,,,,,,,,$808.75,,2/27/2019 Wed,"$2,459.83",$433.00,$18.42,"$1,657.23",$50.65,$76.74,,
,,2/28/2019 Thu,"$1,926.60",$310.84,$80.90,$11.80,"$1,235.40",,,$52.03,$60.36,,"-$1,561.69","$1,189.34",70.54%,61.73%,76.16%,,,,,,,,,,,,$364.91,,2/28/2019 Thu,"$1,926.60",$391.74,$11.80,"$1,235.40",$52.03,$60.36,,
2019년 3월,매출 보고,3/1/2019 Fri,"$2,737.64",$453.77,$0.00,$16.23,"$1,876.03",,,$84.69,$51.14,,"-$2,347.12","$1,733.35",75.38%,63.32%,73.85%,,,,,,,,,,,,$390.52,,3/1/2019 Fri,"$2,737.64",$453.77,$16.23,"$1,876.03",$84.69,$51.14,,
,,3/2/2019 Sat,"$1,509.69",$309.20,$175.80,$9.51,$780.24,,,$42.31,$55.29,,"-$1,212.67",$911.94,56.85%,60.41%,75.20%,,,,,,,,,,,,$297.02,,3/2/2019 Sat,"$1,509.69",$485.00,$9.51,$780.24,$42.31,$55.29,,
실제 수익,"$61,327.42",3/3/2019 Sun,"$1,547.28",$394.82,$74.90,$8.45,$839.09,,,$54.02,$35.21,,"-$1,299.61","$1,003.45",59.65%,64.85%,77.21%,,,,,,,,,,,,$247.67,,3/3/2019 Sun,"$1,547.28",$469.72,$8.45,$839.09,$54.02,$35.21,,
보고 수익,"$46,545.29",3/4/2019 Mon,"$1,531.51",$193.39,$220.30,$12.77,$890.34,,,$55.40,$20.00,,"-$1,288.05",$967.96,63.95%,63.20%,75.15%,,Week 50,"$1,819.55",$249.09,$101.53,$17.69,"$1,193.67",,,$61.22,$29.64,$243.46,"$2,856.65",3/4/2019 Mon,"$1,531.51",$413.69,$12.77,$890.34,$55.40,$20.00,,
카드 수익,"$34,239.38",3/5/2019 Tue,"$2,070.76",$335.25,$77.90,$29.13,"$1,352.86",,,$53.95,$38.29,,"-$1,680.37","$1,268.47",71.86%,61.26%,75.49%,,,,,,,,,,,,$390.39,,3/5/2019 Tue,"$2,070.76",$413.15,$29.13,"$1,352.86",$53.95,$38.29,,
,"$12,305.91",3/6/2019 Wed,"$1,367.85",$270.10,$0.00,$5.68,$878.57,,,$57.16,$31.89,,-$926.73,$656.24,70.65%,47.98%,70.81%,,,,,,,,,,,,$441.12,,3/6/2019 Wed,"$1,367.85",$270.10,$5.68,$878.57,$57.16,$31.89,,
담배 수익,"$13,743.80",3/7/2019 Thu,"$1,912.99",$216.88,$0.00,$5.21,"$1,413.56",,,$46.24,$57.05,,"-$1,288.47",$990.54,81.28%,51.78%,76.88%,,,,,,,,,,,,$624.52,,3/7/2019 Thu,"$1,912.99",$216.88,$5.21,"$1,413.56",$46.24,$57.05,,
그로서리 수익,$469.41,3/8/2019 Fri,"$2,274.32",$321.20,$77.90,$25.43,"$1,501.48",,,$95.90,$32.25,,"-$1,618.95","$1,228.79",72.62%,54.03%,75.90%,,,,,,,,,,,,$655.37,,3/8/2019 Fri,"$2,274.32",$399.10,$25.43,"$1,501.48",$95.90,$32.25,,
잡화 수익,"$38,182.20",3/9/2019 Sat,"$2,050.62",$230.98,$175.80,$30.05,"$1,354.71",,,$53.32,$19.25,,"-$1,686.95","$1,145.12",72.67%,55.84%,67.88%,,,,,,,,,,,,$363.67,,3/9/2019 Sat,"$2,050.62",$406.78,$30.05,"$1,354.71",$53.32,$19.25,,
토바코 수익,"$2,134.58",3/10/2019 Sun,"$1,528.77",$175.82,$158.80,$15.53,$964.18,,,$66.60,$8.76,,"-$1,390.65","$1,084.57",69.38%,70.94%,77.99%,,,,,,,,,,,,$138.12,,3/10/2019 Sun,"$1,528.77",$334.62,$15.53,$964.18,$66.60,$8.76,,
맥주 수익,"$1,196.88",3/11/2019 Mon,"$1,821.17",$340.97,$0.00,$11.88,"$1,244.35",,,$46.93,$11.34,,"-$1,223.20",$901.51,75.16%,49.50%,73.70%,,Week 51,"$1,980.68",$326.58,$103.77,$15.55,"$1,242.65",,,$82.10,$29.83,$597.97,"$4,061.00",3/11/2019 Mon,"$1,821.17",$340.97,$11.88,"$1,244.35",$46.93,$11.34,,
,,3/12/2019 Tue,"$1,607.86",$187.34,$0.00,$10.60,"$1,201.28",,,$24.03,$38.32,,"-$1,478.68","$1,123.00",82.18%,69.84%,75.95%,,,,,,,,,,,,$129.18,,3/12/2019 Tue,"$1,607.86",$187.34,$10.60,"$1,201.28",$24.03,$38.32,,
,,3/13/2019 Wed,"$2,007.82",$316.56,$149.80,$18.54,"$1,204.49",,,$61.52,$74.28,,"-$1,473.01","$1,130.03",65.99%,56.28%,76.72%,,,,,,,,,,,,$534.81,,3/13/2019 Wed,"$2,007.82",$466.36,$18.54,"$1,204.49",$61.52,$74.28,,
,,3/14/2019 Thu,"$2,166.21",$434.22,$264.00,$29.31,"$1,145.30",,,$60.50,$35.79,,"-$1,580.15","$1,092.02",58.16%,50.41%,69.11%,,,,,,,,,,,,$586.06,,3/14/2019 Thu,"$2,166.21",$698.22,$29.31,"$1,145.30",$60.50,$35.79,,
,,3/15/2019 Fri,"$2,366.61",$334.08,$75.90,$16.65,"$1,573.55",,,$137.62,$13.53,,"-$1,232.21",$928.01,73.14%,39.21%,75.31%,,,,,,,,,,,,"$1,134.40",,3/15/2019 Fri,"$2,366.61",$409.98,$16.65,"$1,573.55",$137.62,$13.53,,
,,3/16/2019 Sat,"$1,604.74",$363.67,$80.90,$9.62,$863.56,,,$130.53,$10.45,,"-$1,076.21",$751.22,59.19%,46.81%,69.80%,,,,,,,,,,,,$528.53,,3/16/2019 Sat,"$1,604.74",$444.57,$9.62,$863.56,$130.53,$10.45,,
,,3/17/2019 Sun,"$2,290.36",$309.23,$155.80,$12.25,"$1,466.01",,,$113.58,$25.12,,"-$1,740.31","$1,349.63",70.41%,58.93%,77.55%,,,,,,,,,,,,$550.05,,3/17/2019 Sun,"$2,290.36",$465.03,$12.25,"$1,466.01",$113.58,$25.12,,
,,3/18/2019 Mon,"$2,200.03",$503.13,$155.70,$23.92,"$1,197.65",,,$59.45,$60.02,,"-$1,550.75","$1,114.99",59.88%,50.68%,71.90%,,Week 52,"$2,021.06",$326.66,$110.96,$16.41,"$1,259.78",,,$81.47,$41.06,$649.28,"$3,194.04",3/18/2019 Mon,"$2,200.03",$658.83,$23.92,"$1,197.65",$59.45,$60.02,,
,,3/19/2019 Tue,"$1,876.10",$219.31,$81.80,$27.82,"$1,247.70",,,$76.66,$52.11,,"-$1,802.74","$1,303.84",73.16%,69.50%,72.33%,,,,,,,,,,,,$73.36,,3/19/2019 Tue,"$1,876.10",$301.11,$27.82,"$1,247.70",$76.66,$52.11,,
,,3/20/2019 Wed,"$2,429.57",$326.51,$149.80,$16.09,"$1,652.28",,,$42.25,$22.60,,"-$2,046.32","$1,558.58",74.81%,64.15%,76.17%,,,,,,,,,,,,$383.25,,3/20/2019 Wed,"$2,429.57",$476.31,$16.09,"$1,652.28",$42.25,$22.60,,
,,3/21/2019 Thu,"$1,762.23",$310.57,$0.00,$9.91,"$1,175.29",,,$33.87,$65.25,,-$981.56,$715.79,73.36%,40.62%,72.92%,,,,,,,,,,,,$780.67,,3/21/2019 Thu,"$1,762.23",$310.57,$9.91,"$1,175.29",$33.87,$65.25,,
,,3/22/2019 Fri,"$2,338.54",$335.26,$0.00,$19.64,"$1,560.86",,,$168.33,$41.69,,"-$1,923.31","$1,460.51",73.42%,62.45%,75.94%,,,,,,,,,,,,$415.23,,3/22/2019 Fri,"$2,338.54",$335.26,$19.64,"$1,560.86",$168.33,$41.69,,
,,3/23/2019 Sat,"$1,697.24",$283.21,$150.80,$9.85,$978.44,,,$117.32,$3.18,,"-$1,157.17",$808.45,63.41%,47.63%,69.86%,,,,,,,,,,,,$540.07,,3/23/2019 Sat,"$1,697.24",$434.01,$9.85,$978.44,$117.32,$3.18,,
,,3/24/2019 Sun,"$1,843.74",$308.62,$238.60,$7.62,"$1,006.21",,,$72.43,$42.54,,"-$1,491.56","$1,099.83",60.03%,59.65%,73.74%,,,,,,,,,,,,$352.18,,3/24/2019 Sun,"$1,843.74",$547.22,$7.62,"$1,006.21",$72.43,$42.54,,
,,3/25/2019 Mon,"$2,239.77",$425.91,$207.79,$10.66,"$1,337.67",,,$46.44,$7.56,,"-$1,381.62",$908.35,65.70%,40.56%,65.75%,,Week 53,"$2,111.97",$447.73,$95.87,$12.53,"$1,259.17",,,$54.28,$50.22,$858.15,"$3,735.23",3/25/2019 Mon,"$2,239.77",$633.70,$10.66,"$1,337.67",$46.44,$7.56,,
,,3/26/2019 Tue,"$1,679.33",$471.95,$0.00,$18.82,$964.30,,,$24.95,$46.49,,"-$1,206.98",$733.34,63.16%,43.67%,60.76%,,,,,,,,,,,,$472.35,,3/26/2019 Tue,"$1,679.33",$471.95,$18.82,$964.30,$24.95,$46.49,,
,,3/27/2019 Wed,"$2,122.22",$654.95,$0.00,$15.10,"$1,182.15",,,$40.47,$36.47,,"-$1,428.29","$1,040.92",61.27%,49.05%,72.88%,,,,,,,,,,,,$693.93,,3/27/2019 Wed,"$2,122.22",$654.95,$15.10,"$1,182.15",$40.47,$36.47,,
,,3/28/2019 Thu,"$2,320.51",$432.28,$211.70,$4.65,"$1,311.24",,,$70.09,$79.25,,"-$2,043.02","$1,490.08",62.16%,64.21%,72.94%,,,,,,,,,,,,$277.49,,3/28/2019 Thu,"$2,320.51",$643.98,$4.65,"$1,311.24",$70.09,$79.25,,
,,3/29/2019 Fri,"$3,110.40",$442.20,$251.60,$18.14,"$1,938.43",,,$81.73,$95.36,,"-$2,372.48","$1,758.50",68.55%,56.54%,74.12%,,,,,,,,,,,,$737.92,,3/29/2019 Fri,"$3,110.40",$693.80,$18.14,"$1,938.43",$81.73,$95.36,,
,,3/30/2019 Sat,"$1,678.04",$277.10,$0.00,$8.22,"$1,117.75",,,$93.38,$28.92,,"-$1,277.64",$966.77,73.27%,57.61%,75.67%,,,,,,,,,,,,$400.40,,3/30/2019 Sat,"$1,678.04",$277.10,$8.22,"$1,117.75",$93.38,$28.92,,
,,3/31/2019 Sun,"$1,633.50",$429.73,$0.00,$12.13,$962.63,,,$22.91,$57.48,,"-$1,338.51","$1,013.58",64.82%,62.05%,75.72%,,,,,,,,,,,,$294.99,,3/31/2019 Sun,"$1,633.50",$429.73,$12.13,$962.63,$22.91,$57.48,,
2019년 4월,매출 보고,4/1/2019 Mon,"$2,507.65",$429.92,$147.80,$24.25,"$1,546.97",,,$101.75,$47.60,,"-$1,961.14","$1,511.62",67.86%,60.28%,77.08%,,Week 54,"$2,217.22",$373.43,$117.40,$17.14,"$1,378.64",,,$75.26,$56.35,$546.51,"$4,050.85",4/1/2019 Mon,"$2,507.65",$577.72,$24.25,"$1,546.97",$101.75,$47.60,,
