,dates,total,pack,carton,grcy,misc_total,vape,tobacco,beer,main,card
63,2018-05-30,786.27,235.24,0.0,17.46,446.52,0.0,29.64,11.48,-456.27,272.78
64,2018-05-31,627.77,136.04,0.0,5.47,381.0,0.0,48.28,26.67,-616.78,312.28
65,2018-06-01,969.73,271.84,0.0,4.78,508.34,0.0,65.07,31.45,-837.73,584.66
66,2018-06-02,846.58,175.79,79.9,0.0,460.54,0.0,51.64,1.69,-559.49,395.03
67,2018-06-03,882.74,191.1,79.9,3.49,454.8,0.0,81.83,27.94,-662.74,422.45
68,2018-06-04,1353.27,183.87,0.0,11.24,916.16,0.0,50.16,68.75,-901.18,674.25
69,2018-06-05,812.06,142.66,159.8,11.94,345.0,0.0,45.66,33.12,-702.07,488.3
70,2018-06-06,821.41,145.73,79.9,6.27,512.39,0.0,15.01,3.78,-641.04,518.01
71,2018-06-07,1191.64,218.43,163.8,2.99,658.8,0.0,24.71,14.98,-1026.65,632.84
72,2018-06-08,1515.09,365.75,0.0,4.97,912.28,0.0,60.04,34.25,-1185.09,813.32
73,2018-06-09,1143.62,169.88,95.45,5.28,728.23,0.0,25.02,15.72,-646.14,500.15
74,2018-06-10,754.05,100.26,0.0,1.0,543.08,0.0,12.43,28.67,-754.05,526.5
75,2018-06-11,1240.68,255.35,0.0,2.78,734.54,0.0,111.17,23.97,-800.68,733.09
76,2018-06-12,1094.0,308.81,0.0,4.99,638.21,0.0,23.2,21.73,-874.0,639.31
77,2018-06-13,892.54,191.25,169.0,3.97,404.76,0.0,13.72,28.64,-727.54,543.03
78,2018-06-14,1240.46,298.96,0.0,13.23,735.69,0.0,26.78,53.39,-1237.17,867.0
79,2018-06-15,943.81,204.44,0.0,2.99,518.27,0.0,113.87,18.37,-701.81,441.94
80,2018-06-16,800.34,12.84,0.0,5.86,555.73,0.0,31.96,26.33,-600.16,433.08
81,2018-06-17,692.78,165.19,0.0,10.26,401.44,0.0,45.52,11.96,-527.78,335.13
82,2018-06-18,697.14,182.75,0.0,13.43,352.59,0.0,28.43,56.48,-543.14,285.29
83,2018-06-19,1536.21,194.13,155.8,4.28,924.73,0.0,73.42,44.13,-986.21,624.99
84,2018-06-20,714.94,193.49,0.0,12.43,350.6,0.0,48.41,44.95,-342.06,123.65
85,2018-06-21,1163.06,225.9,79.9,4.49,657.05,0.0,57.97,31.92,-998.06,702.33
86,2018-06-22,1571.13,200.45,98.9,15.03,1001.32,0.0,60.5,52.01,-1186.13,807.64
87,2018-06-23,947.33,156.09,71.2,14.42,528.61,0.0,75.57,21.24,-642.94,460.05
88,2018-06-24,622.14,135.94,77.9,2.98,326.27,0.0,20.06,2.39,-490.14,317.74
89,2018-06-25,822.21,178.51,79.9,2.99,409.15,0.0,40.4,36.44,-712.21,512.28
90,2018-06-26,597.78,228.69,0.0,6.47,251.44,0.0,29.77,31.65,-394.28,252.69
91,2018-06-27,719.0,143.93,0.0,9.25,454.24,0.0,43.49,17.67,-554.0,337.28
92,2018-06-28,902.39,162.84,0.0,12.24,535.1,0.0,65.24,49.96,-748.39,570.54
93,2018-06-29,729.62,227.67,0.0,3.28,347.6,0.0,47.16,37.5,-515.12,392.33
94,2018-06-30,1109.04,146.33,95.45,9.45,672.82,0.0,51.05,33.04,-906.34,732.3
95,2018-07-01,887.47,200.4,0.0,2.99,502.38,0.0,76.4,24.56,-579.1,443.6
96,2018-07-02,913.0,134.56,223.7,9.24,366.59,0.0,48.44,47.4,-747.98,595.88
97,2018-07-03,1279.66,151.56,79.9,1.0,832.85,0.0,57.7,40.26,-784.18,575.05
98,2018-07-04,900.65,204.78,0.0,6.47,494.07,0.0,91.64,21.75,-645.45,476.54
99,2018-07-05,1255.97,137.37,0.0,8.98,894.26,0.0,62.75,38.36,-738.95,524.84
100,2018-07-06,941.89,207.64,0.0,3.87,577.55,0.0,49.25,17.85,-776.24,586.8
101,2018-07-07,1103.78,155.8,95.45,10.98,657.15,0.0,39.01,44.96,-708.95,465.1
102,2018-07-08,920.93,143.6,124.35,6.47,504.18,0.0,47.99,10.58,-500.93,325.11
103,2018-07-09,464.6,186.1,0.0,5.49,197.19,0.0,26.96,6.56,-232.29,180.69
104,2018-07-10,939.76,141.61,0.0,3.49,642.06,0.0,51.36,15.74,-635.2,492.62
105,2018-07-11,1429.02,163.67,319.6,8.95,747.85,0.0,32.51,26.44,-1149.48,910.05
106,2018-07-12,834.52,202.44,0.0,9.25,474.11,0.0,46.01,26.78,-569.67,440.86
107,2018-07-13,1109.22,173.6,95.45,13.44,632.3,0.0,81.73,11.78,-878.69,700.7
108,2018-07-14,1323.38,232.61,79.9,14.96,832.7,0.0,23.26,19.56,-1041.58,817.61
109,2018-07-15,888.38,147.32,0.0,3.98,622.06,0.0,23.26,10.94,-668.35,512.21
110,2018-07-16,1084.59,254.73,155.8,6.98,465.52,0.0,40.77,62.12,-897.57,599.77
111,2018-07-17,712.1,219.17,0.0,1.99,389.57,0.0,19.41,17.16,-315.08,194.49
112,2018-07-18,792.53,195.89,0.0,5.47,467.02,0.0,30.58,21.46,-713.81,560.16
113,2018-07-19,881.59,163.89,0.0,6.86,546.64,0.0,45.76,38.22,-665.77,557.38
114,2018-07-20,1272.69,265.17,0.0,22.68,765.18,0.0,89.74,18.76,-1129.78,808.8
115,2018-07-21,1227.1,216.61,79.9,7.96,752.48,0.0,21.46,25.37,-1079.39,829.46
116,2018-07-22,1048.93,316.97,151.8,6.77,551.24,0.0,56.0,37.36,-658.48,525.89
117,2018-07-23,949.67,136.76,98.9,6.86,587.03,0.0,22.85,10.88,-788.04,614.71
118,2018-07-24,832.32,187.2,79.9,19.34,399.39,0.0,43.22,27.54,-482.24,375.64
119,2018-07-25,625.28,190.75,0.0,5.37,332.11,0.0,33.57,32.46,-538.51,280.21
120,2018-07-26,910.42,294.94,0.0,2.74,445.22,0.0,28.75,56.31,-721.56,515.02
121,2018-07-27,1046.71,120.03,0.0,6.79,736.58,0.0,58.96,29.13,-716.15,450.97
122,2018-07-28,1132.19,207.12,8.23,8.23,707.71,0.0,53.26,52.84,-893.48,616.34
123,2018-07-29,837.76,286.71,59.95,4.77,305.7,0.0,50.82,53.12,-618.43,477.23
124,2018-07-30,1250.68,149.77,141.8,15.34,790.15,0.0,13.43,26.43,-866.14,646.35
125,2018-07-31,800.43,196.28,79.9,9.45,356.04,0.0,38.83,47.09,-577.1,382.65
126,2018-08-01,1005.81,342.13,0.0,8.4,479.03,0.0,53.17,31.55,-637.68,438.58
127,2018-08-02,1154.64,280.22,0.0,2.78,695.87,0.0,39.6,20.16,-576.13,426.4
128,2018-08-03,1740.42,234.71,159.8,9.16,1012.05,0.0,103.96,62.42,-1316.88,932.75
129,2018-08-04,1636.65,286.89,0.0,15.35,1114.93,0.0,36.56,34.02,-1345.09,1028.51
130,2018-08-05,830.35,148.73,0.0,12.94,526.96,0.0,49.35,23.17,-705.39,484.02
131,2018-08-06,854.37,338.64,0.0,18.8,336.63,0.0,25.61,56.96,-747.39,566.33
132,2018-08-07,942.3,168.49,0.0,13.15,579.63,0.0,51.32,43.95,-705.02,488.17
133,2018-08-08,1259.56,165.25,0.0,32.66,770.52,0.0,117.93,58.6,-735.16,669.4
134,2018-08-09,1436.13,267.52,0.0,3.48,923.04,0.0,47.73,63.7,-1006.11,674.78
135,2018-08-10,1670.52,319.38,98.9,10.35,968.08,0.0,55.12,66.71,-1358.16,1087.95
136,2018-08-11,1442.71,234.52,0.0,19.43,903.21,0.0,105.18,49.11,-1409.64,1049.37
137,2018-08-12,1079.18,310.16,0.0,19.69,575.99,0.0,69.56,5.58,-680.89,500.13
138,2018-08-13,1265.84,254.61,0.0,14.72,757.89,0.0,89.08,34.36,-974.29,652.79
139,2018-08-14,971.73,217.3,157.8,9.47,437.31,0.0,46.09,15.37,-896.86,518.44
140,2018-08-15,1206.32,274.72,0.0,19.31,711.66,0.0,60.62,30.26,-630.3,407.79
141,2018-08-16,1046.6,337.56,-87.82,13.92,621.46,0.0,49.39,16.85,-1518.55,818.53
142,2018-08-17,1275.9,203.66,0.0,5.71,868.98,0.0,46.28,38.0,-1020.92,734.14
143,2018-08-18,1577.5,305.18,98.9,8.08,949.69,0.0,45.93,26.23,-1222.29,870.6
144,2018-08-19,1412.95,215.63,79.9,5.11,915.83,0.0,44.2,23.75,-844.06,657.25
145,2018-08-20,1220.11,137.4,75.9,3.58,826.32,0.0,45.86,20.05,-877.31,643.46
146,2018-08-21,675.09,188.4,0.0,5.47,320.13,0.0,72.52,29.93,-398.06,227.07
147,2018-08-22,875.0,209.85,149.3,13.04,453.36,0.0,12.12,37.33,-617.49,484.43
148,2018-08-23,1098.96,216.92,0.0,7.32,700.05,0.0,64.19,10.47,-711.72,506.72
149,2018-08-24,1534.36,283.6,79.9,8.95,884.48,0.0,52.36,85.48,-920.64,712.33
150,2018-08-25,1602.99,142.8,89.1,3.48,1011.33,0.0,66.1,144.37,-909.65,694.77
